iter	Accuracy	MultiClass
0	0.4912070344	1.0796475
1	0.5127897682	1.063032368
2	0.5179356515	1.050216091
3	0.5238808953	1.037857174
4	0.5228816946	1.028273302
5	0.5242805755	1.019420227
6	0.5256294964	1.012873834
7	0.5271782574	1.0065272
8	0.5301758593	1.000853615
9	0.5334232614	0.995375161
10	0.5337729816	0.9902263963
11	0.5380695444	0.9849910208
12	0.5396682654	0.9799432059
13	0.5432653877	0.9762230838
14	0.5436151079	0.9722561995
15	0.5451139089	0.9686690725
16	0.5486610711	0.9650621526
17	0.5513089528	0.9615872816
18	0.553057554	0.9588399346
19	0.554706235	0.9565529931
20	0.5583533173	0.9535126411
21	0.5604016787	0.9505436785
22	0.5620003997	0.9477482236
23	0.564048761	0.9457877076
24	0.5641486811	0.9438048971
25	0.5657973621	0.9414714599
26	0.5668465228	0.9392964743
27	0.5684952038	0.9354612391
28	0.5701938449	0.9325586389
29	0.5714428457	0.9302302642
30	0.5726418865	0.9284114272
31	0.5764388489	0.924882452
32	0.5783872902	0.9229553646
33	0.5793864908	0.921007828
34	0.5825839329	0.9186576886
35	0.5840827338	0.9170594397
36	0.5858313349	0.9151565906
37	0.5858313349	0.9135547382
38	0.587480016	0.9107922058
39	0.5891786571	0.9089688336
40	0.5910271783	0.9067879679
41	0.5935251799	0.9040621773
42	0.5951738609	0.9016760645
43	0.5967725819	0.900036306
44	0.5989708233	0.8979174175
45	0.5996203038	0.8962531918
46	0.6017186251	0.8942191148
47	0.6033673062	0.8916338367
48	0.6038169464	0.8905708041
49	0.6059152678	0.8893282834
50	0.6071143086	0.8883747676
51	0.60941247	0.8863842267
52	0.6112110312	0.8845824612
53	0.612559952	0.8829463567
54	0.6126598721	0.8815597943
55	0.6142585931	0.8797431385
56	0.6153077538	0.8782512166
57	0.6163569145	0.8763133862
58	0.6181554756	0.8749630926
59	0.6198041567	0.8733224627
60	0.6221023181	0.8713775028
61	0.6235511591	0.8699886199
62	0.6248501199	0.8684343937
63	0.6259992006	0.8662156916
64	0.6276478817	0.8648376953
65	0.6282973621	0.863360318
66	0.6303956835	0.8612366449
67	0.6316446843	0.8598826834
68	0.6346922462	0.8575519723
69	0.6355915268	0.8560080729
70	0.6386890488	0.8532026972
71	0.639038769	0.8519389908
72	0.6407374101	0.8503472282
73	0.6424860112	0.8486903963
74	0.6439848122	0.847271402
75	0.6460831335	0.8454047783
76	0.648481215	0.8436359787
77	0.6497801759	0.8414905621
78	0.6517286171	0.8394571092
79	0.653127498	0.8377833127
80	0.6536270983	0.8366592382
81	0.6540767386	0.8355656802
82	0.654676259	0.8343473194
83	0.6566746603	0.8326765506
84	0.6576738609	0.8313620623
85	0.6596223022	0.8292018269
86	0.6611211031	0.8279106863
87	0.6634192646	0.8264058801
88	0.6645183853	0.8249120717
89	0.6669164668	0.8230765943
90	0.6690147882	0.8211967581
91	0.6697142286	0.8196732882
92	0.6701638689	0.8181675966
93	0.6701638689	0.8174273987
94	0.6712130296	0.8165103239
95	0.6721123102	0.8149643294
96	0.6731614708	0.8135122558
97	0.6753597122	0.811370192
98	0.6764088729	0.8097549525
99	0.6786570743	0.8081835043
100	0.6804056755	0.8052021983
101	0.6826538769	0.8032526304
102	0.6852018385	0.8008023627
103	0.6865507594	0.7993900652
104	0.6877498002	0.7981504185
105	0.6887989608	0.7968686687
106	0.690647482	0.7947117954
107	0.6925459632	0.7925385906
108	0.6938948841	0.7908023011
109	0.6949440448	0.7889284808
110	0.6957434053	0.7877897425
111	0.6964928058	0.7862343305
112	0.6979916067	0.7846548057
113	0.7000899281	0.78277881
114	0.7003896882	0.7814737265
115	0.7024880096	0.7786142075
116	0.70313749	0.7775010431
117	0.7047861711	0.7759000006
118	0.7059352518	0.7745108237
119	0.7082334133	0.7725084537
120	0.7098820943	0.7707929158
121	0.7113309353	0.7689744754
