iter	Accuracy	MultiClass
0	0.4894084732	1.080404223
1	0.5045963229	1.064582932
2	0.5112909672	1.051511263
3	0.5150379696	1.040124917
4	0.5272781775	1.027608967
5	0.5258293365	1.018773673
6	0.5246302958	1.010006656
7	0.532873701	1.000741895
8	0.5335231815	0.9945744764
9	0.5361211031	0.9887736359
10	0.5398681055	0.9828361757
11	0.5424160671	0.9783359168
12	0.54691247	0.972974798
13	0.5507094325	0.9681545043
14	0.5549060751	0.9630346601
15	0.557753797	0.9586845665
16	0.5620003997	0.9527465338
17	0.5676458833	0.9467215383
18	0.5690447642	0.9418718379
19	0.5707933653	0.9390969774
20	0.5723421263	0.9367547182
21	0.5736910472	0.9338205102
22	0.5755395683	0.9313163486
23	0.57808753	0.9276036182
24	0.5815347722	0.9239201775
25	0.5823341327	0.9216672025
26	0.5867306155	0.9183039019
27	0.5867306155	0.916452886
28	0.5898780975	0.9137725788
29	0.5904276579	0.9117598392
30	0.5934752198	0.9081257824
31	0.5958733014	0.9057610594
32	0.5978217426	0.9035343581
33	0.5995203837	0.9011822946
34	0.6014188649	0.8984522185
35	0.6029676259	0.8959443132
36	0.6040667466	0.8943473133
37	0.6073641087	0.8919410062
38	0.6102617906	0.8883491908
39	0.6131095124	0.885968433
40	0.6151578737	0.8831311286
41	0.617156275	0.8804130882
42	0.6208533173	0.8776758182
43	0.6213029576	0.8755192958
44	0.6233513189	0.8721296893
45	0.6251998401	0.8698458321
46	0.6279476419	0.8672511978
47	0.6306954436	0.8639446891
48	0.6329436451	0.8614074141
49	0.6341426859	0.8596292078
50	0.6360911271	0.8572556847
51	0.6391886491	0.8549630983
52	0.6418864908	0.8512961625
53	0.6438848921	0.8496711857
54	0.6474820144	0.8469463945
55	0.6490807354	0.8453596757
56	0.6505795364	0.8430980918
57	0.6519784173	0.8411801996
58	0.6549260592	0.8379052838
59	0.6558752998	0.8358989307
60	0.6588729017	0.8329424091
61	0.6601219025	0.8314946334
62	0.6639188649	0.8286730589
63	0.6664168665	0.8267776407
64	0.667216227	0.8253525252
65	0.6696143086	0.8229685744
66	0.6712130296	0.8216268872
67	0.6728117506	0.8183852264
68	0.6747102318	0.816264872
69	0.6770083933	0.8151236133
70	0.6782074341	0.8137729152
71	0.6795063949	0.8121767282
72	0.6810051958	0.8089745258
73	0.681254996	0.8079749807
74	0.6830035971	0.8056165316
75	0.6845023981	0.8039245208
76	0.6877498002	0.8010289165
77	0.6887989608	0.7989902272
78	0.6901978417	0.7978587754
79	0.6927957634	0.794630112
80	0.6944444444	0.7929725685
81	0.6958433253	0.7918163026
82	0.6975419664	0.7901740613
83	0.6997901679	0.787127752
84	0.7002398082	0.786066129
85	0.7034872102	0.7836387771
86	0.7039368505	0.7813033714
87	0.7059852118	0.7795803604
88	0.7079336531	0.7776899867
89	0.7083333333	0.7761025389
90	0.7117805755	0.7723986566
91	0.7144284572	0.7704085912
92	0.7162270184	0.76835529
93	0.7185751399	0.7651925902
94	0.720323741	0.7633354315
95	0.7228217426	0.7598315519
96	0.7246702638	0.7576408733
97	0.7257194245	0.7560852927
98	0.7260691447	0.7546073989
99	0.7273181455	0.7526878349
100	0.7305655476	0.7504697143
101	0.731314948	0.7483765419
102	0.73436251	0.7453165548
103	0.7347621902	0.7442905875
104	0.7379096723	0.741516085
105	0.739008793	0.7402804942
106	0.7408073541	0.7378956082
107	0.7414068745	0.736340725
108	0.7434052758	0.7337946145
109	0.745353717	0.7316596717
110	0.7452038369	0.7292072222
111	0.7464028777	0.7274161218
112	0.7497501998	0.7250867916
113	0.7509992006	0.7237710492
114	0.7533473221	0.721347078
115	0.754746203	0.7196816523
116	0.7571942446	0.7175697753
117	0.7587929656	0.716136496
118	0.7614908074	0.713174372
119	0.762440048	0.7118579385
120	0.7631894484	0.7103034595
121	0.7643385292	0.7086904006
122	0.7649880096	0.7077343368
123	0.7648880895	0.7064097817
124	0.7669864109	0.7046673967
125	0.7689348521	0.701745641
126	0.771882494	0.7000578685
127	0.7726318945	0.6978108411
128	0.7755795364	0.6952162264
129	0.7757793765	0.6935940456
130	0.7761790568	0.6922887904
131	0.7785271783	0.6901296707
132	0.7797761791	0.6880784071
133	0.7819744205	0.685534264
134	0.7840727418	0.6835003222
135	0.7860711431	0.681879699
136	0.7870203837	0.6803558058
137	0.7882194245	0.678001239
138	0.7894184652	0.6767992138
139	0.7912669864	0.6749377781
140	0.7913169464	0.673561561
141	0.7933153477	0.6723674301
142	0.7946642686	0.6714374712
143	0.7959132694	0.6690664956
144	0.7964628297	0.6677364482
145	0.7980115907	0.6660707679
146	0.8003097522	0.6639300967
147	0.8018585132	0.6623448473
148	0.8029576339	0.6605954065
149	0.8048561151	0.6590736807
150	0.8060051958	0.6575493485
151	0.8068545164	0.6557270272
152	0.8076538769	0.6544634044
153	0.8092525979	0.6526727191
154	0.8103017586	0.6503754223
155	0.8121502798	0.6492243345
156	0.8129496403	0.6478325496
157	0.815597522	0.6459309823
158	0.815697442	0.6443505762
159	0.8172961631	0.6427426832
160	0.8181954436	0.6411793911
161	0.8194944045	0.63961208
162	0.8210931255	0.6375834415
163	0.8237909672	0.6357224836
164	0.8245903277	0.6342645352
165	0.8242406075	0.6332719094
166	0.8260891287	0.6309441216
167	0.8268884892	0.628771328
168	0.8279376499	0.6274212479
169	0.8287370104	0.6254830184
170	0.8301358913	0.6235921434
171	0.8313349321	0.6219626127
172	0.8321342926	0.6201345887
173	0.8335831335	0.6191091344
174	0.8344824141	0.6177962532
175	0.8355315747	0.615461725
176	0.8358313349	0.6142518991
177	0.8362310152	0.6131714673
178	0.8369304556	0.6115586682
179	0.8384292566	0.61047411
180	0.839028777	0.6084769828
181	0.8392785771	0.6073993152
182	0.8409272582	0.6056676632
183	0.8417266187	0.6046264268
184	0.842126299	0.6034439271
185	0.8430255795	0.6015807428
186	0.8456235012	0.5994164441
187	0.8465227818	0.5982462887
188	0.8469724221	0.596938314
189	0.8479216627	0.5950900868
190	0.8495703437	0.5936608337
191	0.8502198241	0.5925824619
192	0.8509692246	0.5914186563
193	0.8517186251	0.590115834
194	0.853117506	0.5886524182
195	0.8532673861	0.587421463
196	0.8552158273	0.5854969358
197	0.8557653877	0.584199071
198	0.8566646683	0.5827515579
199	0.8573641087	0.5809119081
200	0.8574640288	0.5798611076
201	0.8583633094	0.5783560935
202	0.8596622702	0.577323875
203	0.8607114309	0.575601866
204	0.8618105516	0.574237145
205	0.8626099121	0.5728251508
206	0.8630595524	0.5720079662
207	0.8642585931	0.5707961114
208	0.8652078337	0.5697039725
209	0.8661570743	0.5685230833
210	0.8673561151	0.5661335876
211	0.8685051958	0.5649809521
212	0.8705535572	0.5635952927
213	0.8710031974	0.5620425542
214	0.8708533173	0.5613211875
215	0.8716027178	0.5597964542
216	0.8736510791	0.5579415826
217	0.8742006395	0.5557378768
218	0.8754996003	0.5542116633
219	0.8767486011	0.5530040331
220	0.8774480416	0.551253082
221	0.8779476419	0.5493999967
222	0.8784972022	0.5483661481
223	0.8793964828	0.5475949246
224	0.879746203	0.5467108503
225	0.879646283	0.5458033061
226	0.8804956035	0.544777644
227	0.8820943245	0.5437475381
228	0.8819444444	0.5426652657
229	0.8823441247	0.5416620668
230	0.8824440448	0.5403009234
231	0.8838429257	0.539231943
232	0.8845423661	0.5384671378
233	0.8855915268	0.5370475288
234	0.8861410871	0.5363919377
235	0.8870903277	0.5351899043
236	0.8869404476	0.5340602461
237	0.8868904876	0.5329065736
238	0.8875899281	0.5320146238
239	0.8881894484	0.5310329973
240	0.8892386091	0.52917584
241	0.8900379696	0.5273841411
242	0.8904876099	0.5263455885
243	0.89063749	0.525619341
244	0.8914868106	0.5246123645
245	0.8918864908	0.5231873902
246	0.892136291	0.521768883
247	0.8925859313	0.5211935293
248	0.8928357314	0.5199290593
249	0.8934852118	0.5191993215
250	0.8940347722	0.5182380413
251	0.8946842526	0.5169648874
252	0.8954836131	0.5153321523
253	0.8964828137	0.514122421
254	0.896882494	0.5134906156
255	0.8976818545	0.5121723757
256	0.8974820144	0.5114691044
257	0.8976818545	0.5100774288
258	0.8975819345	0.508777749
259	0.8989308553	0.5076008118
260	0.899930056	0.506428655
261	0.9000799361	0.5054480095
262	0.9013788969	0.5034454789
263	0.9018784972	0.5025515866
264	0.9023281375	0.5012159306
265	0.9028277378	0.5005677832
266	0.9028776978	0.4995313242
267	0.9044264588	0.4979741524
268	0.904626299	0.4970693551
269	0.9059752198	0.4955645047
270	0.9058253397	0.4948453695
271	0.9064248601	0.4936990782
272	0.9070743405	0.4927716579
273	0.9075739408	0.4917762859
274	0.9080235811	0.4904405585
275	0.9087230216	0.4890555295
276	0.9094724221	0.4883172153
277	0.9104716227	0.4868456099
278	0.9100719424	0.4859391416
279	0.910921263	0.4849456827
280	0.9112709832	0.483843799
281	0.9115207834	0.4828312521
282	0.9124200639	0.4814658078
283	0.9128697042	0.4799134021
284	0.9136690647	0.4789663287
285	0.9142685851	0.4780497636
286	0.9151179057	0.4768369907
287	0.9154176659	0.4763325338
288	0.9157673861	0.4751867787
289	0.9173661071	0.4740978942
290	0.9178157474	0.4728708378
291	0.9182154277	0.4715155712
292	0.9186151079	0.4707338167
293	0.9189648281	0.469966871
294	0.9195643485	0.4693924784
295	0.9198641087	0.4683631707
296	0.920363709	0.467358008
297	0.9209632294	0.4659047828
298	0.9212629896	0.4650686147
299	0.92181255	0.4637570175
300	0.9227617906	0.4629885781
301	0.923511191	0.4618461405
302	0.9239608313	0.4609753853
303	0.9243605116	0.4601294211
304	0.925059952	0.4592911843
305	0.9256095124	0.4584624782
306	0.9264588329	0.4569695259
307	0.926508793	0.4562344609
308	0.9266586731	0.4555424875
309	0.9275079936	0.4546134227
310	0.9279076739	0.4536398973
311	0.9283073541	0.4529294322
312	0.9291566747	0.4520915172
313	0.9295063949	0.4515002983
314	0.9302058353	0.4508611915
315	0.9305555556	0.4498411424
316	0.9309552358	0.4489507291
317	0.931254996	0.4481851505
318	0.9316047162	0.4472309815
319	0.9319044764	0.4458600116
320	0.9322541966	0.4450583691
321	0.9320043965	0.4444457878
322	0.9323541167	0.4430284495
323	0.9326039169	0.4419188466
324	0.9336530775	0.4410830947
325	0.9339028777	0.4405050299
326	0.9335531575	0.4398793115
327	0.9345523581	0.4385676101
328	0.9349020783	0.4378097756
329	0.9351518785	0.4370727174
330	0.9357014388	0.4363428071
331	0.9357513989	0.4356176926
332	0.9366007194	0.4346334523
333	0.9367505995	0.4339695099
334	0.9367505995	0.4333443433
335	0.9374000799	0.432409662
