iter	RMSE
0	0.9860232083
1	0.9738573565
2	0.9620393874
3	0.9502256067
4	0.9389773366
5	0.9273927957
6	0.9165689532
7	0.9063942017
8	0.8962313831
9	0.8870715697
10	0.8781943836
11	0.8702490514
12	0.8621191337
13	0.8543874542
14	0.8466678919
15	0.8396055102
16	0.8331431164
17	0.8266013084
18	0.8193938926
19	0.8128917358
20	0.8075861886
21	0.8016200153
22	0.7958107507
23	0.7910823002
24	0.7858569228
25	0.7801726262
26	0.7749119234
27	0.7705571027
28	0.7662549609
29	0.7620302399
30	0.7567908318
31	0.7529860235
32	0.748878759
33	0.7446886394
34	0.7401308896
35	0.7357513992
36	0.7315824937
37	0.727696903
38	0.7242308899
39	0.7208188651
40	0.7179361449
41	0.7144407842
42	0.7113736443
43	0.7082996705
44	0.7048798805
45	0.7015486646
46	0.6991241233
47	0.6960911751
48	0.693854054
49	0.6906346726
50	0.6881419297
51	0.6854856422
52	0.6825921719
53	0.6797877756
54	0.6770062554
55	0.6746819707
56	0.6722205611
57	0.6695050246
58	0.6675234575
59	0.6650061907
60	0.6630738326
61	0.6616028983
62	0.6596335541
63	0.6573065098
64	0.6554293766
65	0.6530706965
66	0.6513123981
67	0.6495385903
68	0.647417068
69	0.6457532049
70	0.64430523
71	0.6426882727
72	0.6409520142
73	0.6400798574
74	0.637846296
75	0.6359394013
76	0.6335133137
77	0.6318324934
78	0.6296424974
79	0.6277498305
80	0.6264473227
81	0.6247945372
82	0.6229582803
83	0.6213587915
84	0.6193790603
85	0.6184550622
86	0.6168113417
87	0.6148998938
88	0.6138258546
89	0.6124789418
90	0.6110772874
91	0.6101789088
92	0.6082931665
93	0.6073374524
94	0.6055984753
95	0.6038913125
96	0.6031784463
97	0.6015217192
98	0.6001138227
99	0.5983791488
100	0.5969524977
101	0.5957578168
102	0.5944809977
103	0.5932254992
104	0.5920379876
105	0.5906604742
106	0.5896502698
107	0.5878353804
108	0.5871261857
109	0.5857358617
110	0.5844176485
111	0.583731471
112	0.5825921646
113	0.5813089021
114	0.5800818336
115	0.5785509561
116	0.5777007357
117	0.576771776
118	0.5758862392
119	0.5747812394
120	0.5736190478
121	0.5721470556
122	0.5710082354
123	0.5700301714
124	0.5688128989
125	0.5676959629
126	0.5663358232
127	0.5658118697
128	0.5648020374
129	0.5641819306
130	0.5634035906
131	0.5624323613
132	0.5617961007
133	0.5606440327
134	0.5597190105
135	0.5585712841
136	0.5579244739
137	0.556895901
138	0.5556272946
139	0.5545390813
140	0.5537784638
141	0.5526458258
142	0.5517134762
143	0.5509305706
144	0.5503333385
145	0.5497460531
146	0.5487110255
147	0.5478489862
148	0.547361478
149	0.5462594891
150	0.5455224054
151	0.5448212238
152	0.5440694162
153	0.543255135
154	0.5422966083
155	0.541653055
156	0.5405887655
157	0.5399609385
158	0.5392227557
159	0.5385339117
160	0.5381428818
161	0.5372286693
162	0.5368310934
163	0.5361235204
164	0.535308844
165	0.5346618975
166	0.5336649928
167	0.5332205266
168	0.5324546992
169	0.5315628019
170	0.5308134527
171	0.5301463893
172	0.529249548
173	0.5283735553
174	0.5276793728
175	0.527040903
176	0.5259822226
177	0.5254482911
178	0.5247896419
179	0.5240227486
180	0.5238231673
181	0.5229593366
182	0.522303648
183	0.5217751817
184	0.5209921312
185	0.5201211733
186	0.5197679244
187	0.5190448695
188	0.5186574903
189	0.5179783905
190	0.5171343583
191	0.516664952
192	0.5158626972
193	0.5154355501
194	0.5150457202
195	0.5143503098
196	0.5136315127
197	0.5132482113
198	0.5125234793
199	0.5116132474
200	0.5108998546
201	0.5103548416
202	0.5097893447
203	0.5094559727
204	0.5090193903
205	0.5082495973
206	0.5076363869
207	0.5070556642
208	0.506484556
209	0.506168811
210	0.5054821708
211	0.5049487648
212	0.5044953249
213	0.5039861408
214	0.5035068732
215	0.5028014667
216	0.5023861351
217	0.5018763163
218	0.5014567803
219	0.5007270662
220	0.5003059804
221	0.499773845
222	0.49920741
223	0.4989321206
224	0.49834585
225	0.4975940212
226	0.4969397479
227	0.4964620705
228	0.4957736313
229	0.4954223959
230	0.4950714392
231	0.4946722341
232	0.4940623251
233	0.4935361446
234	0.4931258605
235	0.4925928838
236	0.4921620796
237	0.491682124
238	0.4911344496
239	0.490570516
240	0.4901523073
241	0.4897842024
242	0.4892342194
243	0.4887413654
244	0.4884065391
245	0.4879514477
246	0.4876590789
247	0.4872603478
248	0.4868075014
249	0.4862173381
250	0.4859160908
251	0.4855412341
252	0.4851676728
253	0.4847785832
254	0.4843043141
255	0.4839947883
256	0.4836762028
257	0.4831413097
258	0.4827951831
259	0.4824975736
260	0.4822041351
261	0.4816959538
262	0.4812671432
263	0.4808122628
264	0.4802748509
265	0.479873025
266	0.4793441017
267	0.4791233001
268	0.4787613308
269	0.4783469946
270	0.4778075866
271	0.4773416862
272	0.4768647823
273	0.4763964507
274	0.4761752393
275	0.475726024
276	0.4755261231
277	0.475179544
278	0.4749732465
279	0.4744940377
280	0.4742898735
281	0.4738664123
282	0.4736512085
283	0.4732471092
284	0.4729708194
285	0.4725060814
286	0.4722100309
287	0.4718121825
288	0.4715131027
289	0.4710679064
290	0.4705939319
291	0.470251668
292	0.4700403823
293	0.469806985
294	0.4695735885
295	0.4692096697
296	0.4689187596
297	0.4684940667
298	0.4680431741
299	0.4677257552
300	0.4673891183
301	0.4671257815
302	0.4668944274
303	0.4665448783
304	0.4660849679
305	0.4658041159
306	0.4655044562
307	0.4652759992
308	0.4649068245
309	0.4647501424
310	0.4644520329
311	0.4642354969
312	0.463863592
313	0.4634279677
314	0.4630405152
315	0.4628530956
316	0.4624561282
317	0.4622658765
318	0.4620921878
319	0.4618463229
320	0.4615252952
321	0.4613912946
322	0.4610562044
323	0.4606313272
324	0.4604010639
325	0.460164096
326	0.4599032228
327	0.4595626811
328	0.4593688385
329	0.4591399839
330	0.4589958832
331	0.4586780898
332	0.4585281083
333	0.4583123667
334	0.4580211648
335	0.4577488115
336	0.4574806051
337	0.4570796344
338	0.4567899539
339	0.4566047522
340	0.4563672242
341	0.4560319701
342	0.4557533507
343	0.4555440653
344	0.4552871669
345	0.455066128
346	0.4547671773
347	0.4546221846
348	0.4543009743
349	0.45401699
350	0.4538472571
351	0.4536100964
352	0.4534421362
353	0.4531335682
354	0.4528777405
355	0.4527364628
356	0.4524723489
357	0.4522930826
358	0.4521167179
359	0.4519658223
360	0.4517040782
361	0.4514045589
362	0.4510817092
363	0.4508273438
364	0.4507179359
365	0.4505556157
366	0.4504075247
367	0.4502530091
368	0.4500083831
369	0.4497013981
370	0.4494274188
