iter	Passed	Remaining
0	11	11749
1	31	15624
2	42	14201
3	54	13618
4	65	13089
5	76	12669
6	87	12366
7	98	12226
8	109	12037
9	122	12080
10	132	11924
11	144	11923
12	154	11742
13	165	11660
14	177	11625
15	187	11533
16	199	11515
17	210	11495
18	222	11463
19	470	23035
20	486	22677
21	502	22356
22	517	21991
23	529	21528
24	538	20992
25	548	20558
26	559	20148
27	569	19772
28	579	19394
29	589	19062
30	601	18805
31	611	18507
32	623	18268
33	634	18015
34	644	17768
35	654	17535
36	667	17370
37	680	17217
38	690	17017
39	703	16889
40	714	16711
41	724	16516
42	733	16334
43	744	16186
44	755	16040
45	768	15940
46	779	15798
47	788	15647
48	799	15515
49	812	15428
50	822	15298
51	832	15175
52	842	15049
53	853	14950
54	866	14888
55	876	14776
56	886	14670
57	898	14599
58	908	14489
59	924	14486
60	939	14467
61	953	14423
62	966	14372
63	978	14306
64	987	14206
65	998	14130
66	1010	14073
67	1020	13986
68	1030	13903
69	1039	13815
70	1048	13725
71	1059	13651
72	1070	13587
73	1078	13491
74	1088	13430
75	1100	13381
76	1113	13347
77	1122	13271
78	1134	13224
79	1149	13214
80	1163	13196
81	1173	13136
82	1184	13089
83	1194	13030
84	1251	13474
85	1295	13770
86	1348	14148
87	1396	14472
88	1414	14475
89	1424	14406
90	1434	14325
91	1445	14267
92	1458	14223
93	1507	14526
94	1553	14801
95	1570	14789
96	1583	14743
97	1622	14934
98	1642	14952
99	1655	14895
100	1664	14819
101	1674	14741
102	1684	14668
103	1694	14600
104	1706	14548
105	1719	14498
106	1728	14422
107	1739	14363
108	1749	14303
109	1762	14261
110	1773	14201
111	1783	14143
112	1793	14078
113	1804	14026
114	1816	13977
115	1829	13938
116	1838	13876
117	1848	13820
118	1860	13776
119	1870	13715
120	1879	13656
121	1892	13620
122	1903	13573
123	1914	13528
124	1925	13481
125	1934	13420
126	1946	13378
127	1957	13337
128	1968	13292
129	1979	13246
130	1988	13192
131	2000	13152
132	2017	13148
133	2033	13138
134	2042	13088
135	2054	13052
136	2063	12998
137	2074	12960
138	2086	12922
139	2097	12885
140	2108	12847
141	2120	12809
142	2129	12762
143	2139	12716
144	2149	12676
145	2158	12625
146	2169	12589
147	2180	12549
148	2190	12508
149	2204	12492
150	2214	12451
151	2223	12404
152	2232	12361
153	2242	12319
154	2254	12291
155	2263	12247
156	2276	12221
157	2286	12183
158	2297	12149
159	2306	12109
160	2315	12066
161	2327	12040
162	2337	12004
163	2350	11979
164	2360	11944
165	2369	11902
166	2381	11876
167	2390	11839
168	2402	11815
169	2415	11791
170	2425	11756
171	2434	11718
172	2446	11692
173	2457	11666
174	2466	11627
175	2475	11588
176	2487	11567
177	2498	11540
178	2510	11514
179	2521	11486
180	2531	11454
181	2610	11733
182	2625	11720
183	2640	11708
184	2656	11703
185	2671	11691
186	2684	11672
187	2696	11648
188	2708	11620
189	2717	11586
190	2732	11571
191	2743	11544
192	2754	11517
193	2762	11477
194	2773	11448
195	2783	11417
196	2796	11398
197	2806	11366
198	2817	11339
199	2829	11316
200	2840	11292
201	2852	11268
202	2862	11237
203	2871	11203
204	2880	11171
205	2893	11154
206	2905	11131
207	2917	11107
208	2927	11078
209	2936	11047
210	2947	11023
211	2958	10995
212	2968	10967
213	2978	10940
214	2989	10913
215	3000	10891
216	3012	10868
217	3022	10841
218	3032	10813
219	3044	10795
220	3053	10764
221	3063	10736
222	3076	10720
223	3091	10709
224	3106	10699
225	3118	10679
226	3129	10658
227	3141	10636
