iter	RMSE
0	0.9900806404
1	0.9770928875
2	0.9658305069
3	0.9543047202
4	0.9432124266
5	0.9314434501
6	0.9203726159
7	0.9105373825
8	0.90043237
9	0.8912081105
10	0.8820051668
11	0.872959613
12	0.8647913145
13	0.8576254717
14	0.8495290863
15	0.8421454685
16	0.8353510993
17	0.8286038144
18	0.8216135262
19	0.8155890272
20	0.8095483965
21	0.8034529149
22	0.7983669325
23	0.7932798735
24	0.7881581868
25	0.7836567329
26	0.7784147404
27	0.7736301484
28	0.7686497509
29	0.7640265886
30	0.7594424579
31	0.7547899991
32	0.7508027386
33	0.7465703882
34	0.7425819909
35	0.7383689497
36	0.7342411237
37	0.7307263659
38	0.7272279486
39	0.7234322149
40	0.7207163044
41	0.7174463325
42	0.7140757942
43	0.7109364928
44	0.7084467801
45	0.7056154861
46	0.7030323233
47	0.7001920147
48	0.6974297608
49	0.6944444859
50	0.6922898935
51	0.6894842011
52	0.6870749162
53	0.6845641103
54	0.6818590268
55	0.6788093502
56	0.6766969363
57	0.6745404576
58	0.6729737223
59	0.6707855749
60	0.6686666344
61	0.6666828188
62	0.6648691402
63	0.6632536546
64	0.6603362655
65	0.6582817357
66	0.6561039359
67	0.6543691681
68	0.6525312546
69	0.6504982873
70	0.6481214076
71	0.6464287352
72	0.6447352978
73	0.6424383492
74	0.6405989255
75	0.6386538314
76	0.6376410929
77	0.6357240503
78	0.6333310496
79	0.6322011426
80	0.6309419386
81	0.6286659155
82	0.6268866569
83	0.6251803711
84	0.6229999944
85	0.6220835437
86	0.6207408301
87	0.6190852016
88	0.6175532145
89	0.6162986647
90	0.6143655997
91	0.613048071
92	0.6115814941
93	0.6099256012
94	0.6082970275
95	0.6069095024
96	0.6062330837
97	0.6046881265
98	0.6028185771
99	0.6018971996
100	0.6002289845
101	0.5990123023
102	0.5978192984
103	0.5963935574
104	0.5956212651
105	0.5940234019
106	0.5929611325
107	0.591764728
108	0.5910243206
109	0.589374869
110	0.5880022677
111	0.5873018235
112	0.5861516931
113	0.5847463649
114	0.5835419603
115	0.5822462476
116	0.5813296171
117	0.580041543
118	0.578460682
119	0.5775574455
120	0.5765503687
121	0.5749759604
122	0.5740728131
123	0.5730688606
124	0.5719881364
125	0.5710101533
126	0.5701757869
127	0.5693880962
128	0.5684947024
129	0.5672021566
130	0.5660894702
131	0.5646954463
132	0.5635362287
133	0.5627281699
134	0.5615450427
135	0.5610314756
136	0.5603349824
137	0.5597286216
138	0.5588747729
139	0.5575880242
140	0.556884195
141	0.5557992364
142	0.5547226427
143	0.554122727
144	0.5535535464
145	0.5523069723
146	0.5512019684
147	0.5504266845
148	0.5495910124
149	0.5485089418
150	0.547362878
151	0.5462438464
152	0.5458021295
153	0.5449976461
154	0.5440161078
155	0.5432623716
156	0.5425044053
157	0.5418080183
158	0.5407651397
159	0.5399969416
160	0.5390706345
161	0.5379577153
162	0.5375229535
163	0.5367609205
164	0.5361264761
165	0.5352616322
166	0.5343736172
167	0.5339014853
168	0.5332957389
169	0.5323408164
170	0.5313929023
171	0.5305319273
172	0.529606817
173	0.5288673902
174	0.5283761952
175	0.527767408
176	0.526854728
177	0.526360207
178	0.5256575061
179	0.5248585861
180	0.5240278958
181	0.5232640446
182	0.5227680434
183	0.5221384367
184	0.5212688552
185	0.5207346928
186	0.5202277014
187	0.5194547958
188	0.5190951705
189	0.5184950318
190	0.5177278956
191	0.5171702468
192	0.516481497
193	0.5157395427
194	0.5154177693
195	0.514704646
196	0.5141514271
197	0.5136928699
198	0.51293143
199	0.5122564696
200	0.5115736265
201	0.5110373369
202	0.5106959541
203	0.5102477722
204	0.5096092131
205	0.509014219
206	0.5084512941
207	0.5077846584
208	0.5073258886
209	0.5067475146
210	0.5062963275
211	0.5058757685
212	0.5054147884
213	0.5049052408
214	0.5043061369
215	0.5038256064
216	0.503319619
217	0.5027085432
218	0.502296996
219	0.5018849168
220	0.5015802737
221	0.5009955771
222	0.500521762
223	0.5001629297
