iter	RMSE
0	0.9892127091
1	0.9767463569
2	0.9650184424
3	0.9524163519
4	0.9416915818
5	0.9305408289
6	0.9200229085
7	0.9100805297
8	0.9005693559
9	0.8913655694
10	0.882621927
11	0.8743949899
12	0.866597837
13	0.8592691757
14	0.8517497356
15	0.8452908129
16	0.8388876677
17	0.8322585415
18	0.82544443
19	0.819418952
20	0.814292221
21	0.8091302327
22	0.804312652
23	0.7988184317
24	0.7936008967
25	0.7878981428
26	0.7827761503
27	0.7785636207
28	0.7737380595
29	0.7692560898
30	0.7646618028
31	0.7609687849
32	0.7565422455
33	0.7525033478
34	0.7486539778
35	0.7449909566
36	0.7406714745
37	0.7367975056
38	0.7331996719
39	0.7297630459
40	0.7257515306
41	0.7221142709
42	0.7184969833
43	0.7154929365
44	0.7123301234
45	0.7096163193
46	0.7070252487
47	0.7038427521
48	0.7013694626
49	0.6985576447
50	0.6954493036
51	0.6925855135
52	0.6897397057
53	0.6868374083
54	0.6843316612
55	0.6820925683
56	0.680123383
57	0.6778530593
58	0.6762538256
59	0.673909998
60	0.6713430996
61	0.6693041249
62	0.6668121193
63	0.6651018778
64	0.6636399159
65	0.6614021386
66	0.6590466254
67	0.6571792257
68	0.6551049362
69	0.6529326861
70	0.6510862057
71	0.6490783213
72	0.647497314
73	0.6457197763
74	0.6437669375
75	0.6419134837
76	0.6402554211
77	0.6381580162
78	0.6361018538
79	0.6349320413
80	0.6334242089
81	0.6317018483
82	0.6300886618
83	0.6284479593
84	0.6270136909
85	0.6261125635
86	0.6241333757
87	0.6227686828
88	0.620986054
89	0.619258444
90	0.617962656
91	0.6163304135
92	0.6146798571
93	0.6128341662
94	0.6116614211
95	0.6102439769
96	0.6093464154
97	0.6079492114
98	0.6067908028
99	0.6058255756
100	0.6043860065
101	0.6028398763
102	0.6016003769
103	0.6003511966
104	0.5994107388
105	0.5976317636
106	0.5968027759
107	0.5951978496
108	0.5943556727
109	0.5933900539
110	0.5917988611
111	0.5911179789
112	0.5899103842
113	0.5886967017
114	0.5875219867
115	0.5861023994
116	0.58479246
117	0.5836861057
118	0.5826589038
119	0.5811946733
120	0.5802327432
121	0.57872748
122	0.5780438279
123	0.577244438
124	0.5758281369
125	0.5748359812
126	0.5735683312
127	0.5729461489
128	0.5722643812
129	0.5711010694
130	0.5701540426
131	0.5692563951
132	0.5684517021
133	0.5672765501
134	0.5662920199
135	0.5650537767
136	0.5644815869
137	0.5637803491
138	0.5628031057
139	0.5616308706
140	0.5607313575
141	0.5598928757
142	0.5589774679
143	0.5579620004
144	0.5572479975
145	0.5562102358
146	0.5552304964
147	0.5544707455
148	0.5535892307
149	0.5524224976
150	0.5513807002
151	0.5506643466
152	0.54972735
153	0.5487675955
154	0.5478405992
155	0.5470936262
156	0.5460520048
157	0.5451265529
158	0.5443780395
159	0.5436217794
160	0.5428805665
161	0.5417295097
162	0.5411390341
163	0.5402324239
164	0.5396251368
165	0.5388842828
166	0.5381292541
167	0.5370469931
168	0.536391045
169	0.5354559498
170	0.5348057744
171	0.5343132374
172	0.5336812357
173	0.5329691896
174	0.5319926908
175	0.5312034603
176	0.5303632997
177	0.5299349874
178	0.5291023556
179	0.5287329009
180	0.5282847243
181	0.5277929036
182	0.5270580493
183	0.5261411845
184	0.5254381848
185	0.5244731489
186	0.5239278824
187	0.5234233498
188	0.5229915602
189	0.5223568641
190	0.5215606871
191	0.5211443331
192	0.5205622288
193	0.5199018488
194	0.5190993723
195	0.5186154695
196	0.5181989056
197	0.5177225971
198	0.5173185739
199	0.516472368
200	0.5159014844
201	0.5153581327
202	0.5147108712
203	0.5142900101
204	0.5137669865
205	0.5131198649
206	0.5125648096
207	0.5118810567
208	0.5114521286
209	0.5107156341
210	0.5102792851
211	0.5096445403
212	0.5089741949
213	0.5086272004
214	0.5082333422
215	0.5077336963
216	0.5072328457
217	0.5067589119
218	0.5063532584
219	0.5059490698
220	0.5056234442
221	0.5049819099
222	0.5044206871
223	0.5039028435
224	0.503180804
225	0.5028316921
226	0.5022064851
227	0.5015739972
228	0.5012054546
229	0.5006267235
230	0.5001816632
231	0.4997901774
232	0.4993989096
233	0.4988314194
234	0.4983143669
235	0.4979441777
236	0.4976073014
237	0.4971569363
238	0.4967156511
239	0.4960972059
240	0.4956831211
241	0.4952502599
242	0.4947150831
243	0.4943249239
244	0.4938128549
245	0.4934357239
246	0.4929039392
247	0.4924283123
248	0.4919869168
249	0.4913258147
250	0.490948455
251	0.4904342008
252	0.4898769901
253	0.4894942983
254	0.4889469138
255	0.4885734922
256	0.488014379
257	0.4876791812
258	0.487231291
259	0.4869344741
260	0.4864546048
261	0.4859721479
262	0.4854742456
263	0.4850876428
264	0.4847888752
265	0.4842003097
266	0.4838889047
267	0.4836097494
268	0.4831996837
269	0.4826836804
270	0.4821631127
271	0.4819095608
272	0.4814591712
273	0.4811853474
274	0.4807172653
275	0.4803143438
276	0.479869248
277	0.4794721147
278	0.4789883668
279	0.4785799075
280	0.4781337261
281	0.4777146702
282	0.4773596926
283	0.4768307887
284	0.4763949316
285	0.4761319341
286	0.4757067582
287	0.4753943355
288	0.475154277
289	0.4749081571
290	0.4746086096
291	0.4741979524
292	0.4739006477
293	0.4735070209
294	0.4732728768
295	0.4728661832
296	0.4724735416
297	0.4722278489
298	0.4719277843
299	0.4716397648
300	0.47125865
301	0.4708446876
302	0.4706271422
303	0.4702859859
304	0.4700304056
305	0.4698551005
306	0.4695270852
307	0.4693158924
308	0.4690951679
309	0.4689101812
310	0.4685150613
311	0.4681683512
312	0.4679348933
313	0.4677072262
314	0.4673717016
315	0.4670669797
316	0.4666408435
317	0.4664503063
318	0.4662663857
319	0.4660953759
320	0.4657952971
321	0.4655327482
322	0.4651320553
323	0.4648823995
324	0.4647008824
325	0.4644885591
326	0.4641726818
327	0.4637641013
328	0.4635720498
329	0.4633799554
330	0.4631658144
331	0.4629287818
332	0.4626442247
333	0.4623463145
334	0.461983281
335	0.4615661731
336	0.4613774739
337	0.4612265802
338	0.4608737937
339	0.4606353186
340	0.4603212405
341	0.4601973615
342	0.459837851
343	0.4596132145
344	0.4594731807
345	0.4591645947
346	0.4589177697
347	0.458535414
348	0.4582835008
349	0.4581347139
350	0.4579586268
351	0.4577929753
352	0.4575517356
353	0.4572607345
354	0.4569683124
355	0.4566880339
356	0.4565453943
357	0.456351299
358	0.4560350106
359	0.4557586004
360	0.4554864767
361	0.4552172259
362	0.4549601512
363	0.4548041505
364	0.4546651003
365	0.454390243
366	0.4542299583
367	0.4540857461
368	0.4537797312
369	0.453551202
370	0.4532817704
371	0.4530268358
372	0.4528916794
373	0.4526241031
374	0.4524785783
375	0.4523425113
376	0.4521895973
377	0.4519251639
378	0.4518412908
379	0.4516687025
380	0.4515210606
381	0.4512686623
382	0.4509655271
383	0.4508447383
384	0.4507041322
385	0.4504551429
386	0.4501914627
387	0.4500875391
388	0.4499293685
389	0.4496507392
390	0.4494997458
391	0.4493860156
392	0.4492408724
393	0.4490526815
394	0.4489452489
395	0.448812378
396	0.4485584328
397	0.448258315
398	0.4479988299
399	0.4478556859
400	0.4476107592
401	0.4474813152
402	0.4473370999
403	0.4470900763
404	0.4469593347
405	0.4468290155
406	0.4465644001
407	0.4463827522
408	0.4461292696
409	0.4459594409
410	0.4457122754
411	0.4455969868
412	0.4453978901
413	0.445160078
414	0.445051093
415	0.44487748
416	0.4447594256
417	0.4444863375
418	0.4443355425
419	0.4441284859
420	0.4439217445
421	0.4436666548
422	0.4435215968
423	0.4433848228
424	0.4432883971
425	0.4431811764
426	0.4430396461
427	0.4429007177
428	0.4426536773
429	0.4425339472
430	0.4423430745
431	0.4422372796
432	0.4420689307
433	0.4419634737
434	0.4417457498
435	0.4415289051
436	0.4413409698
437	0.4411823683
438	0.4410890741
439	0.4409452178
440	0.4408606776
441	0.4406381097
442	0.4404472067
443	0.4403575022
444	0.4402504173
445	0.4401062338
446	0.4400079545
447	0.4398670476
448	0.4396456933
449	0.4394966863
450	0.4393032056
451	0.4391978639
452	0.4390340141
453	0.4389128027
454	0.4387569811
455	0.4386611783
456	0.4385162322
457	0.4384015439
458	0.4382982078
459	0.4380850018
460	0.4379435851
461	0.4377025839
462	0.4375217573
463	0.4373606533
464	0.4372744581
465	0.4371734167
466	0.4370879577
467	0.4369059819
468	0.4367359998
469	0.4366100734
470	0.4364388064
471	0.43632756
472	0.4362057989
473	0.4361357622
474	0.4360594643
475	0.4359598858
476	0.4358144786
477	0.4356216842
478	0.4355121745
479	0.4354321765
480	0.4352611701
481	0.4350975147
482	0.435018419
483	0.4349218663
484	0.4347474958
485	0.4345790353
486	0.4344923475
487	0.434371514
488	0.4342633869
489	0.434167507
490	0.4340922451
491	0.4339442008
492	0.4337865285
493	0.4336854431
494	0.4335608751
495	0.4333945049
496	0.433163968
497	0.4330740505
498	0.4328788183
499	0.4327244525
500	0.4326107847
501	0.432446696
502	0.4323712856
503	0.4322198682
504	0.4320883983
505	0.4320146649
506	0.4318768178
507	0.4317399728
508	0.4315855218
509	0.4315162367
510	0.4314078974
511	0.4313462618
512	0.4312499705
513	0.4311438659
514	0.4310556236
515	0.4309868121
516	0.4309024586
517	0.4308359843
518	0.4307728468
519	0.4306984248
520	0.4305433452
521	0.4304621765
522	0.430338461
523	0.4302043563
524	0.4300195641
525	0.4299032515
526	0.4297697811
527	0.4297090342
528	0.4296528551
529	0.4295394541
530	0.429406682
531	0.4293405433
532	0.4292138729
533	0.4291143819
534	0.4289600677
535	0.4288952726
536	0.4287736014
537	0.4286435367
538	0.4284832227
539	0.4283450602
540	0.4282805963
541	0.4281867336
542	0.4281149433
543	0.4280178094
544	0.4278412103
545	0.4277522416
546	0.4275990484
547	0.4274864117
548	0.4274215713
549	0.4273683246
550	0.4272460809
551	0.4271545164
552	0.4270790006
553	0.4270161622
554	0.4269206947
555	0.4268749832
556	0.4267663756
557	0.4266528668
558	0.4265124099
559	0.4264390508
560	0.4263644613
561	0.426314827
562	0.4262559684
563	0.4261541163
564	0.4260898953
565	0.4260062863
566	0.4259171746
567	0.4258434644
568	0.4256472261
569	0.4255492293
570	0.425490117
571	0.4253341068
572	0.425239067
573	0.4251590725
574	0.4251061738
575	0.4250125114
576	0.4249432021
577	0.4247491536
578	0.4246793957
579	0.424521971
580	0.4244302142
581	0.4243497647
582	0.4242768769
583	0.4242147784
584	0.4240680309
585	0.4240060386
586	0.4238725496
587	0.4238087219
588	0.423748851
589	0.4236601808
590	0.4235755759
591	0.4235334121
592	0.4234253018
593	0.4233517583
594	0.4232288603
595	0.4231370953
596	0.4230429123
597	0.4229635211
598	0.4228951408
599	0.4227734359
600	0.4226617472
601	0.4225935345
602	0.4225318645
603	0.4224596047
604	0.4224027836
605	0.4222936861
606	0.4222128262
607	0.4221149101
608	0.4220748
609	0.4220087454
610	0.4219559147
611	0.4218940301
612	0.4218215373
613	0.421776056
614	0.4216753127
615	0.4216157387
616	0.4215119544
617	0.4214382299
618	0.4213869909
619	0.4213241172
620	0.4212693968
621	0.4212085806
622	0.4210808917
623	0.4210102126
624	0.4209523274
625	0.420839644
626	0.4207921439
627	0.4207273552
628	0.4206628306
629	0.4205397729
630	0.4204515647
631	0.4203792739
632	0.4202543534
633	0.4201477465
634	0.4200467157
635	0.419998301
636	0.4199167767
637	0.4198273257
638	0.4197888656
639	0.419724154
640	0.4196385251
641	0.4195842774
642	0.4194690108
643	0.4194185922
644	0.4193875702
645	0.419342482
646	0.4192659696
647	0.4191722202
648	0.4190847498
649	0.4189614025
650	0.4188836919
651	0.4188304184
652	0.4186666897
653	0.418613403
654	0.4185392209
655	0.4184833418
656	0.4184024764
657	0.4183584417
658	0.4182992952
659	0.4181667658
660	0.4180469572
661	0.4179675273
662	0.4179145187
663	0.4178478301
664	0.4177706081
665	0.4177060004
666	0.4176720952
667	0.4175770902
668	0.4174245484
669	0.4173771354
670	0.4172913655
671	0.4172302932
672	0.4171296309
673	0.4170877988
674	0.4169954633
675	0.4169442389
676	0.4168832201
677	0.4167807066
678	0.4167435885
679	0.4166033612
680	0.4165415622
681	0.416467964
682	0.4163592458
683	0.4163022065
684	0.4162122289
685	0.4161540558
686	0.4160458396
687	0.4159937325
688	0.4159112519
689	0.4158495722
690	0.4157931375
691	0.4157511881
692	0.4156972933
693	0.4156636579
694	0.4155598772
695	0.4154786198
696	0.4154243247
697	0.415354872
698	0.4153067827
699	0.4151981374
700	0.415124693
701	0.4150698699
702	0.415026681
703	0.4149830411
704	0.4149266307
705	0.4148223086
706	0.41467456
707	0.4145989299
708	0.4145591266
709	0.4145175181
710	0.4144167739
711	0.4143610813
712	0.4143117582
713	0.4142390879
714	0.4141102972
715	0.4140248055
716	0.4139972758
717	0.4139411353
718	0.4138854855
719	0.413832939
720	0.4137836019
721	0.4137401292
722	0.4136829553
723	0.4136290666
724	0.4135752182
725	0.4135090514
726	0.4134310734
727	0.4133915825
728	0.4133550824
729	0.4132894112
730	0.4131943038
731	0.4131644791
732	0.4130643885
733	0.4130281274
734	0.4129187148
735	0.4128695291
736	0.4128173998
737	0.4127488873
738	0.4126865196
739	0.4126514706
740	0.4126099082
741	0.4125429369
742	0.4124969632
743	0.412449197
744	0.4123905994
745	0.4123310412
746	0.4122841943
747	0.4122470907
748	0.4122047873
749	0.4121532355
750	0.412093194
751	0.4120390893
752	0.4119869881
753	0.4119405306
754	0.411889364
755	0.4118317252
756	0.411776418
757	0.4116996054
758	0.4116597127
759	0.4115929808
760	0.4115539725
761	0.4114641285
762	0.4114135628
763	0.4113475973
764	0.4112034734
765	0.4111731054
766	0.4111343079
767	0.4110927956
768	0.4110607247
769	0.4109742311
770	0.4109119606
771	0.4108054293
772	0.4107632102
773	0.4106656949
774	0.4106290869
775	0.4105768355
776	0.410526276
777	0.4104819967
778	0.410437303
779	0.4103914785
780	0.4103286338
781	0.4102892073
782	0.4102562717
783	0.4101762421
784	0.410116351
785	0.4100388398
786	0.4099772127
787	0.4099348964
788	0.4098982859
789	0.409840811
790	0.4098082929
791	0.4097124026
792	0.4096664581
793	0.4096321655
794	0.4095918348
795	0.4095262775
796	0.4094328953
797	0.4093709178
798	0.4093416274
799	0.409291438
800	0.4092134345
801	0.4091701478
802	0.4091070453
803	0.4090664598
804	0.4090163129
805	0.4089504551
806	0.4088732046
807	0.4088346261
808	0.4087866769
809	0.4087357626
810	0.4086896743
811	0.4086487729
812	0.408603207
813	0.4085695314
814	0.4085256328
815	0.4084489937
816	0.4083912267
817	0.4083645124
818	0.408285868
819	0.4082196028
820	0.4081742995
821	0.4080504228
822	0.4080155088
823	0.4079861477
824	0.407949534
825	0.4079096927
826	0.4078339727
827	0.407800669
828	0.4077557881
829	0.4077105684
830	0.4076805519
831	0.4076350057
832	0.4075801827
833	0.407546556
834	0.4074610285
835	0.4074119159
836	0.4073702413
837	0.4073353153
838	0.4072892911
839	0.4072517088
840	0.4072014141
841	0.4071577045
842	0.4071081134
843	0.4070415144
844	0.4070106675
845	0.4069698621
846	0.4068982868
847	0.4068353463
848	0.4067797806
849	0.4067239715
850	0.4066501674
851	0.4065841132
852	0.4065398092
853	0.4064982586
854	0.4064315299
855	0.4063858894
856	0.4063359736
857	0.4062791239
858	0.406220469
859	0.406165263
860	0.4061249623
861	0.40608136
862	0.4060367588
863	0.4059803936
864	0.4059471174
865	0.4059093362
866	0.4058631401
867	0.4058240055
868	0.4057263021
869	0.4056659905
870	0.4056303529
871	0.4056006081
872	0.4055576605
873	0.4055094497
874	0.4054338511
875	0.4053576163
876	0.4053339394
877	0.4052969418
878	0.4052422695
879	0.4052080234
880	0.4051695446
881	0.4051162972
882	0.4050573747
883	0.4050198752
884	0.4049755254
885	0.4049286105
886	0.4048967126
887	0.4048556712
888	0.4048174418
889	0.4047952911
890	0.404752106
891	0.4047178437
892	0.4046488151
893	0.4046164142
894	0.40455627
895	0.4045000134
896	0.4044664251
897	0.4044322936
898	0.4043709725
899	0.4043236966
900	0.404286736
901	0.4042529796
902	0.4042076863
903	0.404174369
904	0.4041411819
905	0.4041022931
906	0.4040641016
907	0.4040281571
908	0.4039839398
909	0.4039218246
910	0.4038885212
911	0.4038433427
912	0.4038056748
913	0.4037733729
914	0.4037416941
915	0.4036911859
916	0.4036212792
917	0.4035418255
918	0.4034480191
919	0.4034008302
920	0.4033632909
921	0.403321777
