iter	Passed	Remaining
0	6	240237
1	12	249513
2	18	249220
3	30	302054
4	39	316770
5	46	308823
6	53	303863
7	58	292200
8	68	304013
9	75	301463
10	81	297521
11	89	297919
12	96	295755
13	103	294726
14	109	291393
15	117	292634
16	123	291605
17	132	294155
18	138	290395
19	146	293508
20	155	296934
21	165	300584
22	173	301279
23	179	298443
24	185	296296
25	191	294639
26	197	293058
27	205	293067
28	211	291926
29	221	295245
30	227	293512
31	235	294223
32	242	293500
33	250	294763
34	258	295415
35	265	295169
36	273	295090
37	279	294000
38	287	294458
39	293	293603
40	300	292688
41	306	291454
42	313	291768
43	320	290764
44	328	291726
45	335	291506
46	342	290959
47	349	290766
48	357	291759
49	364	291631
50	371	291188
51	379	291837
52	385	290661
53	392	290612
54	399	289962
55	406	289901
56	413	289717
57	420	289739
58	426	289029
59	434	289382
60	441	288872
61	447	288216
62	454	287850
63	462	288520
64	468	287912
65	475	287458
66	481	286747
67	487	286487
68	495	286511
69	501	285842
70	507	285610
71	514	285184
72	521	285459
73	529	285471
74	535	285210
75	542	284996
76	550	285503
77	557	285268
78	564	285158
79	570	284802
80	577	284687
81	584	284327
82	590	283785
83	597	283800
84	604	283710
85	610	283179
86	620	284513
87	629	285389
88	637	285656
89	644	285594
90	649	284927
91	658	285456
92	664	285112
93	670	284783
94	676	284028
95	683	284064
96	691	284266
97	697	283808
98	705	284249
99	711	284084
100	719	284105
101	725	283948
102	733	284063
