iter	Accuracy	MultiClass
0	0.5029476419	1.077338144
1	0.5243305356	1.058818661
2	0.5389688249	1.039414554
3	0.5457633893	1.022723086
4	0.556304956	1.007895805
5	0.5633493205	0.9928348449
6	0.5659472422	0.9829686202
7	0.5638988809	0.9756329609
8	0.5708433253	0.9661964783
9	0.576538769	0.9546883762
10	0.5785371703	0.9475479696
11	0.5839828137	0.9395209655
12	0.5925259792	0.9302871226
13	0.6006195044	0.9234049531
14	0.6060651479	0.9171267964
15	0.6157573941	0.9084966825
16	0.6195043965	0.9026627763
17	0.6243505196	0.8963265438
18	0.6285471623	0.8897936188
19	0.6294964029	0.8859876083
20	0.6334932054	0.880339648
21	0.6372402078	0.8767557906
22	0.6431354916	0.8700709263
23	0.6471322942	0.8646161684
24	0.6525279776	0.8588653643
25	0.657873701	0.8540272449
26	0.6620203837	0.8481966695
27	0.6657174261	0.84421156
28	0.6724620304	0.8388892042
29	0.6739608313	0.8359671787
30	0.6767086331	0.83202437
31	0.6822541966	0.8263003831
32	0.6840527578	0.8246566935
33	0.6858513189	0.8221754908
34	0.6872002398	0.8179401585
35	0.6940447642	0.8113429193
36	0.6965927258	0.8080418313
37	0.6981414868	0.8057296828
38	0.699990008	0.8024009893
39	0.7059852118	0.7979386898
40	0.7091326938	0.7935616369
41	0.7119804157	0.7912791868
42	0.7138289369	0.788572689
43	0.7167765787	0.7839353214
44	0.7190247802	0.7811243285
45	0.7208233413	0.7789490909
46	0.7237709832	0.7751228169
47	0.7264688249	0.7715047377
48	0.728167466	0.7692515108
49	0.7302657874	0.7670949853
50	0.7336131095	0.7636151081
51	0.7363109512	0.7613079312
52	0.740557554	0.7555893894
53	0.7423061551	0.7524754645
54	0.7450539568	0.7487671055
55	0.7475519584	0.74683789
56	0.7503996803	0.7431371631
57	0.7512989608	0.7408284251
58	0.7526978417	0.7390359553
59	0.7548461231	0.7365234695
60	0.7567945643	0.7342244961
61	0.7595423661	0.730622882
62	0.7629396483	0.7271928422
63	0.7654376499	0.7243144672
64	0.7675359712	0.7216855541
65	0.7692845723	0.7193588356
66	0.7715827338	0.7159618138
67	0.7742805755	0.7118562424
68	0.7779276579	0.7079128097
69	0.779726219	0.7043819322
70	0.7833233413	0.7007957242
71	0.7856714628	0.6964532102
72	0.7887190248	0.6919844272
73	0.7905175859	0.6896879684
74	0.7920163869	0.6877430834
75	0.7980115907	0.6815885853
76	0.799960032	0.6777303729
77	0.8010591527	0.6759726786
78	0.8028077538	0.6737502171
79	0.8037070344	0.6711457227
80	0.8079036771	0.6655276337
81	0.8097022382	0.6621998956
82	0.814098721	0.6561708342
83	0.8149980016	0.6536461226
84	0.8182454037	0.648658918
85	0.8196442846	0.6449369899
86	0.8222422062	0.6415963868
87	0.8236910472	0.6392285261
88	0.8257394085	0.6363234262
89	0.8269384492	0.633830526
90	0.8275379696	0.6317404786
91	0.8287869704	0.6298201017
92	0.829736211	0.6262123581
93	0.8313848921	0.6239184649
94	0.8338329337	0.6201958386
95	0.8366306954	0.6159064757
96	0.8393784972	0.612197925
97	0.8408772982	0.6096356704
98	0.8427258193	0.6061795483
99	0.84367506	0.6034939016
100	0.8446742606	0.6016725355
101	0.846922462	0.5970981813
102	0.8482713829	0.5946697516
103	0.8498201439	0.5922587193
104	0.8517186251	0.5895334724
105	0.8528677058	0.5874038922
106	0.8538169464	0.5853008579
107	0.8560651479	0.582031752
108	0.857763789	0.578506636
109	0.8574640288	0.5766245938
110	0.8584132694	0.5740918332
111	0.8601119105	0.5713919812
112	0.8619604317	0.5690898221
113	0.8627098321	0.5673140274
114	0.8631594724	0.563938026
115	0.8636091127	0.5625694868
116	0.8655075939	0.5596031666
117	0.8665567546	0.5568814422
118	0.8679056755	0.554928991
119	0.8682553957	0.5530226038
120	0.8695043965	0.5512241774
121	0.8711530775	0.548424143
122	0.871902478	0.5455954354
123	0.8741506795	0.54336336
124	0.8754496403	0.5412852
125	0.8763489209	0.5392636435
126	0.8772482014	0.5376491403
127	0.8783972822	0.535101103
128	0.8786470823	0.5334096546
129	0.8804956035	0.5310255151
130	0.8809952038	0.5293026774
131	0.8818944844	0.5279331042
132	0.8824440448	0.5260144551
133	0.8846422862	0.5238564443
134	0.8865907274	0.5212057178
135	0.887490008	0.5195721772
136	0.8882893685	0.5176003415
137	0.8884892086	0.51591627
138	0.8898381295	0.5141521696
139	0.8902378098	0.5122242206
140	0.8912869704	0.5099425258
141	0.8917366107	0.5082700474
142	0.8918365308	0.5065394827
143	0.8939848122	0.5032921891
144	0.8949340528	0.5017336788
145	0.8957334133	0.4994383127
146	0.8960831335	0.4983677736
147	0.8965827338	0.4966585089
148	0.8969824141	0.4950466348
149	0.8978317346	0.4934336245
150	0.8989308553	0.4922075808
151	0.8992805755	0.4904640276
152	0.9010791367	0.4884695193
153	0.9017286171	0.4874159532
154	0.9023281375	0.4851991334
155	0.9033772982	0.4837188944
156	0.9036770584	0.4811379742
157	0.9055255795	0.4790669528
158	0.90622502	0.4776832912
159	0.9071742606	0.4761527514
160	0.9074740208	0.4751655547
161	0.9074740208	0.4740396211
162	0.9074740208	0.4730680975
163	0.9088229416	0.4713665873
164	0.9095223821	0.4702009129
165	0.9112210232	0.4673590094
166	0.9123201439	0.4658524564
167	0.9119204636	0.4641067815
168	0.912569944	0.4630300471
169	0.9128197442	0.4612477668
170	0.9134692246	0.4601713976
171	0.9139188649	0.4588730884
172	0.9146682654	0.4573749386
173	0.915667466	0.4563354664
174	0.915667466	0.4552663738
175	0.9166167066	0.4535748749
176	0.917116307	0.451805749
177	0.917116307	0.4510398149
178	0.9174660272	0.44997371
179	0.9184152678	0.4483035766
180	0.9191646683	0.4463785372
181	0.9197142286	0.445205885
182	0.920313749	0.443678442
183	0.9211630695	0.442418596
184	0.9226119105	0.4409280555
185	0.9231614708	0.4397110735
186	0.9247601918	0.4376392681
187	0.9252597922	0.4361606836
188	0.9260591527	0.4340275638
189	0.9269084732	0.4329842455
190	0.9269084732	0.4315604771
191	0.9279076739	0.4297979051
192	0.9291067146	0.4277111941
193	0.929756195	0.426292656
194	0.9307553957	0.423976992
195	0.9310551559	0.4221178989
196	0.9324540368	0.420344909
197	0.9324540368	0.419603685
198	0.9323541167	0.4182585591
199	0.9324540368	0.4168633772
200	0.9336530775	0.4155476902
201	0.9338029576	0.4142472559
202	0.9346023181	0.4129861085
203	0.9342026379	0.41174249
204	0.9342525979	0.4105802865
205	0.9349520384	0.4092964541
206	0.9358513189	0.40837497
207	0.9357014388	0.4068079823
208	0.9358513189	0.4058615494
209	0.9368005596	0.4045098436
210	0.9379496403	0.4032186988
211	0.9383493205	0.4017421638
212	0.9386990408	0.4006932013
213	0.939098721	0.3988354511
214	0.9400479616	0.3970908993
215	0.9404976019	0.3954674613
216	0.940647482	0.3946284136
217	0.9412470024	0.3937244838
218	0.9417965627	0.3929060796
219	0.9417466027	0.3917235429
220	0.9417466027	0.3902973337
221	0.9425459632	0.3894321367
222	0.9428956835	0.387845765
223	0.9433453237	0.3866368687
224	0.9438449241	0.3852807543
225	0.9447442046	0.3845672789
226	0.9450939249	0.383776159
227	0.9455935252	0.3829987639
228	0.9459432454	0.3817184941
229	0.9458932854	0.3804470531
230	0.9464428457	0.3792025132
231	0.9465927258	0.3782660858
232	0.946842526	0.377456562
233	0.9475919265	0.3765177115
234	0.9480415667	0.3751032222
235	0.9481914468	0.3739275452
236	0.9482414069	0.3725019206
237	0.9485911271	0.3714673535
238	0.9489908074	0.3696718948
239	0.9495903277	0.3689231843
240	0.9497402078	0.3680395231
241	0.9506894484	0.3664297049
242	0.9507394085	0.3656418099
243	0.9510891287	0.3644357981
244	0.951538769	0.3626789306
245	0.9520883293	0.3609796561
246	0.9522382094	0.3601628325
247	0.9529876099	0.3590578093
248	0.95308753	0.3581632846
249	0.9536370903	0.3573898115
250	0.9537370104	0.3566291839
251	0.9539368505	0.3558618972
252	0.9540867306	0.3551110337
253	0.9544864109	0.3541642368
254	0.9548860911	0.3526547418
255	0.9549860112	0.3513765559
256	0.9558852918	0.3497940315
257	0.956235012	0.3489917719
258	0.9563848921	0.3483225019
259	0.9568844924	0.3477117125
260	0.9575839329	0.3464837691
261	0.9579336531	0.345851582
262	0.9584332534	0.3448074683
263	0.9584332534	0.3440957332
264	0.9583333333	0.3432887824
265	0.9586830536	0.3416880756
266	0.9591326938	0.3405449287
267	0.9597821743	0.3399371643
268	0.9600319744	0.3392692864
269	0.9604316547	0.3384642765
270	0.9610811351	0.3376945408
271	0.9612809752	0.3365467905
272	0.9613808953	0.3358195364
273	0.9615807354	0.3353661592
274	0.9620303757	0.3339570899
275	0.9622302158	0.3331032884
276	0.9630295763	0.3319711844
277	0.9630795364	0.3312557187
278	0.9632793765	0.3305926454
279	0.9631294964	0.3300225428
280	0.9637789768	0.3286335799
281	0.9641786571	0.3278651925
282	0.9643285372	0.3271354852
283	0.9647282174	0.3266402466
284	0.9646282974	0.3261504268
285	0.9645283773	0.3248936179
286	0.9648780975	0.3238020007
287	0.9651778577	0.3232221416
288	0.9652777778	0.3225468559
289	0.965627498	0.321831617
290	0.9659272582	0.3207624959
291	0.9660271783	0.3196784077
292	0.9663269384	0.3190146304
293	0.9665267786	0.3184744854
294	0.9666266986	0.3178340021
295	0.967126299	0.3170092742
296	0.9673760991	0.3156461845
297	0.9676758593	0.3147859332
298	0.9676258993	0.3142976508
299	0.9681254996	0.3133974049
300	0.9681254996	0.3129195734
301	0.96872502	0.3118319739
302	0.96882494	0.3111170819
303	0.9689248601	0.3104805606
304	0.9689248601	0.3096965682
305	0.9686250999	0.3089756308
306	0.9689748201	0.308067966
307	0.9690747402	0.3073097488
308	0.9689248601	0.3066790953
309	0.9693745004	0.3059260713
310	0.9696742606	0.3047817876
311	0.9696742606	0.3044380714
312	0.9704236611	0.3037352653
313	0.9706734612	0.3033394946
314	0.9709232614	0.302405522
315	0.9707733813	0.3010723262
316	0.9713229416	0.3002916699
317	0.9716726619	0.2995298281
318	0.9719724221	0.2987273576
319	0.9722222222	0.2975699649
320	0.9722222222	0.2970582925
321	0.9726219025	0.2962832368
322	0.9731215028	0.2953908539
323	0.9733213429	0.2946788124
324	0.9733213429	0.2938775291
325	0.9735211831	0.2924775762
326	0.9737210232	0.2916045
327	0.9740207834	0.2906761082
328	0.9742705835	0.2901462697
329	0.9744204636	0.2894320139
330	0.9745203837	0.2886759552
331	0.9740707434	0.2874948484
332	0.9743205436	0.2868188863
333	0.9742705835	0.2863856155
334	0.9745203837	0.2852816911
335	0.9745703437	0.2843421158
336	0.9746203038	0.2837701395
337	0.9745703437	0.2829752417
338	0.9753697042	0.2822296735
