iter	Accuracy	MultiClass
0	0.489058753	1.079770382
1	0.5067446043	1.064137412
2	0.5084432454	1.052498806
3	0.5132893685	1.04134815
4	0.5160371703	1.03170232
5	0.5214328537	1.022210876
6	0.5225819345	1.014045952
7	0.5288269384	1.005663272
8	0.5320743405	0.999378697
9	0.5352218225	0.9934892378
10	0.5382194245	0.9877778439
11	0.539068745	0.9815941589
12	0.5423661071	0.9768303348
13	0.5462629896	0.971824474
14	0.5482613909	0.9677171116
15	0.5519584333	0.9631431384
16	0.5529576339	0.9604803491
17	0.5545563549	0.9576523362
18	0.5564548361	0.9524851222
19	0.5595023981	0.9493062988
20	0.5604516387	0.9461207412
21	0.5623001599	0.942455973
22	0.5654976019	0.939803072
23	0.5675959233	0.9366576006
24	0.5720923261	0.9318749021
25	0.5745903277	0.9290427966
26	0.5759392486	0.9262621565
27	0.5798361311	0.9229100527
28	0.5800359712	0.9207640626
29	0.5817346123	0.9185237476
30	0.5839328537	0.9162764258
31	0.5861310951	0.9124448152
32	0.5870303757	0.9101279672
33	0.5892286171	0.9083092511
34	0.5923261391	0.9051962471
35	0.5944744205	0.9024202594
36	0.5972721823	0.8995805789
37	0.5998201439	0.8971760821
38	0.6022681855	0.8945068155
39	0.6049160671	0.8923943267
40	0.6057154277	0.8900398603
41	0.6076139089	0.8876784887
42	0.6092625899	0.8857617669
43	0.6098621103	0.88371828
44	0.610961231	0.882054495
45	0.6126099121	0.8796375302
46	0.614008793	0.8779044511
47	0.615657474	0.8754889167
48	0.6196043165	0.8727853753
49	0.621852518	0.8706254473
50	0.6236011191	0.8683968497
51	0.6255495604	0.8669879364
52	0.6275479616	0.8646038287
53	0.6292965627	0.8626185579
54	0.6305455635	0.8610852924
55	0.6338928857	0.8574419542
56	0.6350419664	0.8563571349
57	0.6356414868	0.8547205141
58	0.6378896882	0.8521300778
59	0.643735012	0.8482070507
60	0.6455335731	0.8459882058
61	0.6480315747	0.8438836327
62	0.650029976	0.8412748827
63	0.6526778577	0.8392173959
64	0.6555255795	0.836636742
65	0.6576738609	0.834878404
66	0.6584232614	0.8329031237
67	0.6606714628	0.8311909464
68	0.6620203837	0.8292851115
69	0.6629196643	0.8273294935
70	0.6648681055	0.8249529633
71	0.6679656275	0.8230095218
72	0.6680155875	0.8211967085
73	0.6686650679	0.8196660942
74	0.6706135092	0.8183785946
75	0.6725619504	0.8163508661
76	0.6739608313	0.8144721703
77	0.6771083133	0.811878579
78	0.679656275	0.809143588
79	0.6802058353	0.8070380486
80	0.6814548361	0.8055649015
81	0.682853717	0.8030004856
82	0.6865507594	0.8004716862
83	0.6872501998	0.7977141025
84	0.6897482014	0.7941009588
85	0.6917466027	0.7918010967
86	0.6932454037	0.7908991792
87	0.6948441247	0.7890333142
88	0.6960431655	0.7874156686
89	0.6976918465	0.7857049508
90	0.7003896882	0.7825358206
91	0.7028377298	0.7797739285
92	0.7054856115	0.7769477168
93	0.7071842526	0.7751036949
94	0.7095323741	0.7727706936
95	0.7117805755	0.7709887874
96	0.7122302158	0.7697235858
97	0.7142286171	0.7674492441
98	0.7149780176	0.7661799795
99	0.7192246203	0.7628376367
100	0.7214728217	0.7606844802
101	0.7220723421	0.7595447915
102	0.723421263	0.7575855955
103	0.725069944	0.7546041262
104	0.7259192646	0.7531806407
105	0.7274180655	0.7516833017
106	0.7291666667	0.7500519371
107	0.7313649081	0.7482501738
108	0.7329136691	0.746632436
109	0.7338629097	0.7448060311
110	0.7355615508	0.7433737425
111	0.7363109512	0.7420947486
112	0.7374100719	0.7404417127
113	0.7407573941	0.7377792431
114	0.7425559552	0.7348996235
115	0.7447042366	0.7324555073
116	0.7471522782	0.7303231182
117	0.7480015987	0.7282798724
118	0.7491007194	0.7268854831
119	0.7502997602	0.7250727675
120	0.7520483613	0.7231143555
121	0.7519984013	0.72146401
122	0.7561450839	0.7194316527
123	0.7586430855	0.7169065569
124	0.7598920863	0.7145916386
125	0.7620903277	0.7127534527
126	0.7649880096	0.7106931508
127	0.7654376499	0.7085173415
128	0.7691846523	0.7055216946
129	0.770333733	0.7039023395
130	0.7722821743	0.7016888448
131	0.7737310152	0.6993732419
132	0.7745303757	0.6982059772
133	0.7753297362	0.695959702
134	0.7772282174	0.6943161346
135	0.7783273381	0.6925621633
136	0.7800759392	0.6912553922
137	0.7806754596	0.6902193678
138	0.7823241407	0.6889581943
139	0.7837230216	0.687647807
140	0.7837230216	0.6865330244
141	0.7845223821	0.6855500434
142	0.7854216627	0.6836528712
143	0.7860711431	0.6824072563
144	0.7873701039	0.6798639423
145	0.7882693845	0.6781431564
146	0.7886191047	0.6762588722
147	0.7913169464	0.6741929023
148	0.7929656275	0.6722170034
149	0.7940647482	0.6708506206
150	0.7954636291	0.6696321165
151	0.7965127898	0.6684166375
152	0.7976618705	0.6663977607
153	0.7988109512	0.6649874862
154	0.7986111111	0.6636853612
155	0.8007593925	0.661758753
156	0.8027078337	0.6597487242
157	0.8038569145	0.6580187733
158	0.8048561151	0.6566667465
159	0.8061051159	0.6554516555
160	0.8069544365	0.6547190337
161	0.8081534772	0.6531933131
162	0.8086031175	0.6522394513
163	0.809352518	0.6509486762
164	0.8108013589	0.6488181921
165	0.8120503597	0.6474730476
166	0.8120003997	0.6459150182
167	0.8138988809	0.6444016803
168	0.8142985612	0.6430248393
169	0.8159472422	0.6405256646
170	0.8177458034	0.6395472895
171	0.8185951239	0.6380851824
172	0.8199940048	0.6361498635
173	0.8220923261	0.6345343232
174	0.8228916867	0.6330082908
175	0.8244904077	0.6310795368
176	0.8245403677	0.6297533618
177	0.8264388489	0.62792633
178	0.8278377298	0.6265283402
179	0.8283872902	0.6253806326
180	0.8299360512	0.6236305363
181	0.8302358114	0.6229594773
182	0.8320343725	0.6214167894
183	0.8325839329	0.6198118151
184	0.8338828937	0.6175054099
185	0.8351318945	0.6157179341
186	0.8357813749	0.6143873008
187	0.8373301359	0.6131282653
188	0.8387789768	0.6122864951
189	0.8397781775	0.6112652185
190	0.8403776978	0.6101066016
191	0.8407773781	0.6085201883
192	0.8417765787	0.6065018056
193	0.8420763389	0.6054043261
194	0.8432254197	0.6041973652
195	0.8450739408	0.6023095799
196	0.8461730616	0.6005702068
197	0.8462729816	0.5997669529
198	0.8476219025	0.5984929859
199	0.8488209432	0.5968002143
200	0.8494704237	0.5954292011
201	0.8495703437	0.5940428598
202	0.850069944	0.5932956365
203	0.8512190248	0.5922754096
204	0.8523181455	0.5908199664
205	0.8534172662	0.5892919308
206	0.8540167866	0.5881044609
207	0.854716227	0.5868537906
208	0.8557154277	0.5856147767
209	0.856264988	0.5841300009
210	0.8581135092	0.5826174028
211	0.8588129496	0.5817522498
212	0.8591626699	0.5809301644
213	0.8599120703	0.5798731846
214	0.8604116707	0.5787612457
215	0.860961231	0.5775693702
216	0.8610611511	0.5765715745
217	0.8615607514	0.5755609465
218	0.8619604317	0.5748682845
219	0.8628097522	0.5736634763
220	0.8637090328	0.5726036749
221	0.8652078337	0.5708651428
222	0.8649080735	0.5696519408
223	0.8657573941	0.5683035573
224	0.8663569145	0.5670559539
225	0.8679556355	0.5656391433
226	0.8681554756	0.5640314531
227	0.8690047962	0.5631305115
228	0.8701538769	0.5615787873
229	0.8706035172	0.5608753207
230	0.8715527578	0.559651063
231	0.8722521982	0.5585625106
232	0.8725519584	0.557497544
233	0.8737010392	0.5560051635
234	0.8751498801	0.5549644874
235	0.8750999201	0.5538908815
236	0.8755995204	0.552912839
237	0.8762989608	0.5514919605
238	0.8779476419	0.5502960433
239	0.8786970424	0.5494810919
240	0.8790467626	0.5484288923
241	0.8789968026	0.5475045197
242	0.8798960831	0.5464482285
243	0.8806954436	0.5453181791
244	0.8810951239	0.5437496605
245	0.8813449241	0.5427145176
246	0.8819944045	0.541785707
247	0.8825939249	0.541101489
248	0.8831934452	0.5396334897
249	0.8845423661	0.538290762
250	0.885991207	0.5366805548
251	0.8869404476	0.5346069674
252	0.8872901679	0.5328968301
253	0.8871402878	0.5318541404
254	0.8888389289	0.5302080667
255	0.8894384492	0.5287693053
256	0.8896382894	0.5275577216
