iter	Accuracy	MultiClass
0	0.4930555556	1.079334732
1	0.496802558	1.064922153
2	0.5056954436	1.051123557
3	0.5097921663	1.040310002
4	0.5128896882	1.030625389
5	0.5220823341	1.017225967
6	0.5271282974	1.008928753
7	0.5278277378	1.00312181
8	0.5285771383	0.9968084364
9	0.5319744205	0.9907699042
10	0.5346223022	0.985414021
11	0.5389688249	0.9800288412
12	0.5412170264	0.9733607658
13	0.5449140687	0.9678734518
14	0.5463129496	0.9631690645
15	0.549960032	0.9576961102
16	0.5558053557	0.9526410341
17	0.5570543565	0.9493691492
18	0.5605015987	0.9446982827
19	0.5649480416	0.941086377
20	0.5669964029	0.9380407561
21	0.568745004	0.9350631508
22	0.5733413269	0.9299808775
23	0.5752897682	0.9270689999
24	0.5801358913	0.9240987173
25	0.581284972	0.920734046
26	0.584332534	0.9178513412
27	0.5866306954	0.9149483664
28	0.5888788969	0.9118270537
29	0.5903776978	0.9098790973
30	0.5924760192	0.9075720505
31	0.5962230216	0.9029870611
32	0.6009192646	0.9000412929
33	0.6051159073	0.8959333355
34	0.6070143885	0.892943322
35	0.6099620304	0.8910983319
36	0.6108113509	0.8884662864
37	0.6154576339	0.88565845
38	0.6174560352	0.8826968241
39	0.6198541167	0.8802995598
40	0.6215027978	0.8782573328
41	0.6215027978	0.8758865947
42	0.6254996003	0.872619919
43	0.6285971223	0.8692835134
44	0.6297961631	0.8678762355
45	0.6325939249	0.8648819845
46	0.6332434053	0.8626912277
47	0.6355915268	0.8597987261
48	0.6363908873	0.8582909628
49	0.6386890488	0.8564181456
50	0.64068745	0.8543035186
51	0.6423860911	0.8526476925
52	0.6436350919	0.850226855
53	0.6449340528	0.848517967
54	0.6469824141	0.8463922614
55	0.6476318945	0.8439033857
56	0.6497302158	0.8419049811
57	0.6513788969	0.8395310938
58	0.6551758593	0.8364403718
59	0.6555755396	0.8350905948
60	0.6560251799	0.833688275
61	0.6590227818	0.8308747203
62	0.6613209432	0.8286142482
63	0.6619204636	0.8270584188
64	0.6639188649	0.8253963627
65	0.6674160671	0.822856588
66	0.6696143086	0.8207603589
67	0.6707134293	0.8194308484
68	0.6714128697	0.8176987508
69	0.675059952	0.8147367412
70	0.6759592326	0.8131033399
71	0.6769084732	0.8113056188
72	0.6798561151	0.8089583093
73	0.681304956	0.8068637519
74	0.681304956	0.8053060054
75	0.6832034373	0.8036820255
76	0.6848521183	0.8019082019
77	0.6871502798	0.7998420629
78	0.6879996003	0.7981680319
79	0.6909972022	0.795709315
80	0.6961930456	0.7913442216
81	0.6971922462	0.7897332067
82	0.6978417266	0.7881708208
83	0.699940048	0.7868390286
84	0.701638689	0.7851084921
85	0.7029376499	0.7831475302
86	0.7037370104	0.7813977904
87	0.7048860911	0.7796862766
88	0.7058353317	0.7782141478
89	0.7091326938	0.774482653
90	0.7127298161	0.7717794228
91	0.7147282174	0.7690705282
92	0.7149780176	0.767733775
93	0.7172761791	0.7659199098
94	0.7205735412	0.7629633636
95	0.7220723421	0.7609559709
96	0.7230215827	0.7595547957
97	0.7235211831	0.7581749429
98	0.7257194245	0.7553376267
99	0.7262190248	0.7536586049
100	0.7266686651	0.7524720807
101	0.7282174261	0.7506651563
102	0.7291167066	0.7490468316
103	0.7320643485	0.7462112986
104	0.7342126299	0.7437052168
105	0.7358113509	0.7420992498
106	0.7389588329	0.7390011939
107	0.7420563549	0.7364788483
108	0.743754996	0.7344284768
109	0.745353717	0.732228295
110	0.7461031175	0.7311650532
111	0.7477018385	0.7291739466
112	0.7491506795	0.7271173176
113	0.75	0.7249893785
114	0.7517985612	0.7227015376
115	0.7527977618	0.7209919306
116	0.7532973621	0.719672174
117	0.7579436451	0.7166563689
118	0.7617406075	0.7133574313
119	0.7620403677	0.7123505051
120	0.7623900879	0.7107995626
121	0.7627398082	0.7092405376
122	0.764038769	0.7074213014
123	0.76568745	0.7056676447
124	0.7679356515	0.703616002
125	0.7692845723	0.7015428166
126	0.7700339728	0.7006231006
127	0.7709832134	0.6983547365
128	0.7720323741	0.6969937461
129	0.7738808953	0.6950542998
130	0.7761290967	0.6931663272
131	0.7769284572	0.6917233253
132	0.7784272582	0.6887404274
133	0.7799760192	0.6863966921
134	0.7822741807	0.6844087975
135	0.7836730616	0.6828134358
136	0.784422462	0.6814439658
137	0.7868205436	0.6794715043
138	0.7868705036	0.6774144069
139	0.7878697042	0.6762499775
140	0.7898681055	0.6730576341
141	0.7909672262	0.6711482351
142	0.793764988	0.6674956041
143	0.7949140687	0.666416607
144	0.7964628297	0.6648406753
145	0.7973121503	0.6636712754
146	0.7985611511	0.6611067077
147	0.8004096723	0.6583973258
148	0.8013089528	0.6575837049
149	0.8018085532	0.6562172035
150	0.8037569944	0.6545593207
151	0.8051059153	0.6524788285
152	0.8058553157	0.6513867551
153	0.8074040767	0.650216534
154	0.8084032774	0.6492616123
155	0.809452438	0.6476712763
156	0.8095523581	0.6465492086
157	0.810901279	0.645179183
158	0.8116506795	0.6437279046
159	0.8143984812	0.6421296703
160	0.8143485212	0.6403503532
161	0.8158972822	0.6387306797
162	0.8169464428	0.6372961065
163	0.8180955236	0.6355171095
164	0.8184452438	0.6345415839
165	0.8189948042	0.6331837719
166	0.8204936051	0.6314393701
167	0.8211430855	0.6305527765
168	0.8222422062	0.6295878734
169	0.8228417266	0.6278117141
170	0.8238908873	0.626459434
171	0.8239908074	0.6253920467
172	0.8257893685	0.6234129794
173	0.8262889688	0.6219804751
174	0.8271882494	0.6207732411
175	0.8287370104	0.6189386929
176	0.8291366906	0.6164589095
177	0.829686251	0.6150410309
178	0.8308852918	0.6130582791
179	0.832833733	0.6115519893
180	0.8333832934	0.6099180509
181	0.8349820144	0.6075694845
182	0.8355815348	0.6065467693
183	0.8371802558	0.6046274056
184	0.8379296563	0.6032148919
185	0.8388289369	0.6016195376
186	0.8409272582	0.5990265332
187	0.8410271783	0.5976170484
188	0.8423760991	0.5966278955
189	0.8445243805	0.5950411949
190	0.8446742606	0.5930573116
191	0.8451738609	0.5920115277
192	0.846822542	0.5909500779
193	0.8473221423	0.5898764901
194	0.8488709033	0.5886698615
195	0.8496203038	0.5868960238
196	0.8495203837	0.5855583259
197	0.8513189448	0.5836743783
198	0.8529676259	0.5816445048
199	0.8537669864	0.5802903894
200	0.8550159872	0.5788053379
201	0.8564648281	0.5771402985
202	0.857863709	0.5757233502
203	0.8589128697	0.5745565309
204	0.8599120703	0.5738713879
205	0.8602118305	0.5730787532
206	0.860961231	0.5722059575
207	0.8615107914	0.5711457167
208	0.8619604317	0.57028773
209	0.8629596323	0.569177937
210	0.8636590727	0.5678762232
211	0.8645083933	0.5664858473
212	0.8654076739	0.5654189486
213	0.8651578737	0.564107266
214	0.8657074341	0.5629613924
215	0.8651079137	0.5622171243
216	0.8670063949	0.5603089913
217	0.8668565148	0.5594491745
218	0.8676059153	0.557622232
219	0.8684052758	0.5566865296
220	0.8697541966	0.5553523977
221	0.8700039968	0.5538355171
222	0.8707533973	0.5525212556
223	0.8717026379	0.5516736022
224	0.8724020783	0.55033905
225	0.873501199	0.5486441848
226	0.8740007994	0.5479854538
227	0.8745503597	0.5462433929
228	0.8753497202	0.5448193284
229	0.8763489209	0.5441091416
230	0.8766986411	0.5435128101
231	0.8771982414	0.5426068593
232	0.8774480416	0.5419527624
233	0.8775479616	0.541381084
234	0.8786970424	0.5399324435
235	0.8798960831	0.538326427
236	0.8799960032	0.5372188198
237	0.8799960032	0.5360501146
238	0.8807454037	0.5349481309
239	0.8801458833	0.5337535179
240	0.8810951239	0.5326087314
241	0.8824440448	0.5318037445
242	0.8831934452	0.5307218428
243	0.8839428457	0.5295150036
244	0.8842426059	0.5288092721
245	0.8851918465	0.5277168187
246	0.885991207	0.5260835693
247	0.8863409273	0.5253824955
248	0.8865907274	0.5243414622
249	0.8875899281	0.5234677813
250	0.8887390088	0.5218311402
251	0.8897382094	0.5206306339
252	0.8904376499	0.5189639538
253	0.8904876099	0.5183141908
254	0.8909372502	0.5172729368
255	0.8917865707	0.5156981591
256	0.8928357314	0.5147822372
257	0.8939848122	0.5133410499
258	0.8945343725	0.5122977727
259	0.895383693	0.5111716956
260	0.895383693	0.510118317
261	0.8960331735	0.508792328
262	0.8970823341	0.5078583125
263	0.8981814548	0.506845662
264	0.8977318145	0.5055230109
265	0.8996302958	0.5041161225
266	0.9003796962	0.5031469444
267	0.9018784972	0.501515697
268	0.9021782574	0.5002768835
269	0.9025779376	0.4992005603
270	0.9035271783	0.497957854
271	0.9041266986	0.4973072039
272	0.9052258193	0.4959765781
273	0.9056754596	0.4950609449
274	0.9068245404	0.4938211519
275	0.9073741007	0.4927955579
276	0.9075739408	0.4918092861
277	0.9076239009	0.4906479919
278	0.9090727418	0.4890794585
279	0.9097721823	0.4881885592
280	0.9111211031	0.4868416289
281	0.9114208633	0.4857895053
282	0.9124200639	0.4846217565
283	0.912470024	0.4837854072
284	0.9128697042	0.4828277684
285	0.9129196643	0.4817330199
286	0.9134192646	0.4807672764
287	0.9139188649	0.4801421717
288	0.9144184652	0.4790154651
289	0.9149680256	0.4779128098
290	0.9150679456	0.4770746744
291	0.915567546	0.4760573371
292	0.9161670663	0.4753450036
293	0.9168665068	0.4740993904
294	0.9174160671	0.4728682268
295	0.9181155076	0.4720816324
296	0.9191147082	0.4710627741
297	0.9194644285	0.4701096714
298	0.9202138289	0.4689106787
299	0.9212130296	0.4672193573
300	0.92181255	0.4660613018
301	0.9225119904	0.4647859615
302	0.923511191	0.4640240291
303	0.9235611511	0.4629760549
304	0.9240107914	0.4615408841
305	0.9247601918	0.4605869511
306	0.9245103917	0.4597483104
307	0.9251598721	0.4585783347
308	0.9262589928	0.45737273
309	0.9270583533	0.4560446719
310	0.9274580336	0.4548965801
311	0.9278577138	0.4537928509
312	0.9285071942	0.4527883767
313	0.9289068745	0.4518267759
314	0.9295563549	0.4510997481
315	0.9301558753	0.4501680579
316	0.9305055955	0.449390848
317	0.9302058353	0.4482127687
318	0.9305555556	0.4475068652
319	0.931304956	0.4464108904
320	0.9319044764	0.4456012228
321	0.9316047162	0.4445965647
322	0.9322541966	0.4435615168
323	0.9329536371	0.4427916539
324	0.932853717	0.4422753247
325	0.9335031974	0.4408497674
326	0.9342026379	0.4394943759
327	0.934302558	0.4383705907
328	0.9346522782	0.4378741987
329	0.9348521183	0.4371343962
330	0.9354016787	0.4363700342
331	0.9356015188	0.4360127056
332	0.9357513989	0.4355744085
333	0.9361510791	0.434731557
334	0.9367006395	0.4338498618
