iter	Passed	Remaining
0	10	427377
1	22	456315
2	31	417103
3	39	393375
4	49	398334
5	58	391387
6	66	382782
7	76	383012
8	84	376009
9	92	370769
10	101	369519
11	110	367232
12	117	362377
13	128	366106
14	136	362659
15	145	362447
16	156	366955
17	165	368006
18	174	367388
19	182	364472
20	192	366404
21	199	361821
22	207	360486
23	214	357731
24	222	355479
25	230	353811
26	236	349608
27	243	347993
28	250	345507
29	258	344444
30	264	341050
31	270	338150
32	277	336072
33	284	334751
34	291	332406
35	298	331493
36	304	328710
37	310	326907
38	317	325731
39	325	324990
40	331	323392
41	339	322674
42	347	322938
43	354	321828
44	361	321203
45	367	319441
46	375	319289
47	380	317021
48	388	316382
49	395	316073
50	403	315679
51	409	314786
52	415	313372
53	424	314150
54	430	312651
55	437	312226
56	443	310915
57	451	311055
58	458	310532
59	467	311338
60	474	310411
61	480	309667
62	487	308816
63	494	308406
64	500	307353
65	507	307068
66	514	306458
67	520	305698
68	526	304961
69	532	304020
70	540	303721
71	549	304501
72	556	304590
73	562	303574
74	569	303130
75	576	302588
76	583	302572
77	598	306211
78	606	306520
79	613	305998
80	620	306026
81	626	305173
82	634	305119
83	640	304492
84	648	304722
85	655	304412
86	662	303743
87	667	302905
88	675	303079
89	683	302938
90	689	302363
91	695	301752
92	703	301988
93	710	301537
94	716	301006
95	723	300823
96	731	300797
97	738	300539
98	744	299917
99	751	299718
100	759	299837
