iter	RMSE
0	0.9261603147
1	0.9226978493
2	0.9174781768
3	0.8962276045
4	0.8935250445
5	0.8913220895
6	0.8840537024
7	0.881611532
8	0.8780891764
9	0.8748204963
10	0.8730705965
11	0.8663286237
12	0.862903493
13	0.8612831256
14	0.8585832214
15	0.8558931523
16	0.8540449303
17	0.8521808317
18	0.8504369357
19	0.8493799591
20	0.8481988472
21	0.8458537927
22	0.8424530204
23	0.8410016264
24	0.8389023831
25	0.8369661279
26	0.8353961921
27	0.833319911
28	0.8312909303
29	0.8295554229
30	0.8284252842
31	0.8272105744
32	0.8246298651
33	0.8227297153
34	0.8212483787
35	0.8189495383
36	0.817549952
37	0.8148177785
38	0.8133499314
39	0.8117355361
40	0.8107848522
41	0.8092779267
42	0.8074031486
43	0.8060265979
44	0.804799041
45	0.8034346577
46	0.8021234411
47	0.8013506719
48	0.800149016
49	0.7990075983
50	0.7972481912
51	0.7963661519
52	0.7952291694
53	0.794042425
54	0.7922977973
55	0.7915690857
56	0.7901780944
57	0.7890840947
58	0.7880291432
59	0.7865322195
60	0.7842927428
61	0.7826878999
62	0.7815672659
63	0.7809368363
64	0.7797707243
65	0.778596184
66	0.7772626695
67	0.7762443142
68	0.775297994
69	0.7741749881
70	0.7730230064
71	0.7718506982
72	0.7705613577
73	0.7695110269
74	0.7686364578
75	0.767178353
76	0.7655682681
77	0.7642524809
78	0.76330049
79	0.7619634203
80	0.7608987124
81	0.7599515617
82	0.7586202971
83	0.757940537
84	0.7565922329
85	0.755305063
86	0.7546643997
87	0.7535354949
88	0.7506735499
89	0.7493186473
90	0.7485106119
91	0.7479154811
92	0.7472233343
93	0.7463725314
94	0.7448834564
95	0.7440126161
96	0.7433299943
97	0.7421766659
98	0.7409658694
99	0.7398325474
100	0.7388762839
