iter	Passed	Remaining
0	33	672662
1	62	627881
2	84	564772
3	107	537350
4	130	521836
5	156	522441
6	181	519674
7	205	513193
8	229	509846
9	250	501404
10	274	499182
11	296	493418
12	319	490726
13	342	488509
14	422	563131
15	447	559533
16	471	554138
17	493	548155
18	514	541583
19	537	536786
20	559	532391
21	582	529075
22	605	526103
23	628	523433
24	650	520120
25	673	517406
26	694	513740
27	717	512082
28	739	509248
29	761	506921
30	784	505073
31	806	503014
32	827	500853
33	849	498660
34	873	498206
35	901	499694
36	925	499563
37	951	499811
38	973	498249
39	996	497204
40	1019	496329
41	1041	494938
42	1063	493414
43	1086	492670
44	1108	491577
45	1131	490778
46	1153	489518
47	1179	490376
48	1206	491053
49	1226	489501
50	1247	488062
51	1268	486760
52	1292	486481
53	1317	486604
54	1339	485744
55	1361	484937
56	1384	484298
57	1408	484200
58	1527	516412
59	1574	523400
60	1602	523970
61	1623	522196
62	1644	520438
63	1666	519058
64	1688	517822
65	1709	516460
66	1733	515663
67	1755	514535
68	1777	513538
69	1799	512411
70	1821	511364
71	1843	510199
72	1865	509135
73	1887	508334
74	1911	507774
75	1934	507098
76	1957	506525
77	1983	506668
78	2011	507259
79	2061	513191
80	2098	515986
81	2120	515003
82	2143	514267
83	2165	513454
84	2187	512554
85	2211	511988
86	2233	511216
87	2254	510113
88	2275	509049
89	2297	508219
90	2321	507811
91	2343	507119
92	2366	506497
93	2389	505982
94	2412	505459
95	2434	504673
96	2456	503957
97	2478	503421
98	2501	502883
99	2539	505322
100	2610	514254
101	2644	515861
102	2671	516135
103	2695	515687
104	2717	514810
105	2738	513937
106	2761	513365
107	2784	512841
108	2806	512166
109	2829	511591
110	2850	510836
111	2872	510058
112	2894	509432
113	2915	508557
114	2938	508111
115	2960	507549
116	2982	506851
117	3007	506688
118	3028	505941
119	3052	505615
120	3078	505710
121	3105	505972
122	3129	505689
123	3151	505166
124	3173	504521
125	3196	504153
126	3216	503396
127	3239	502904
128	3261	502391
129	3284	501995
130	3306	501544
131	3330	501215
132	3353	500994
133	3376	500531
134	3398	500089
135	3421	499730
136	3443	499290
137	3464	498647
138	3486	498164
139	3509	497808
140	3532	497578
141	3555	497199
142	3577	496753
143	3619	499112
144	3726	510268
145	3751	510170
146	3772	509486
147	3795	509071
148	3816	508441
149	3838	507993
150	3860	507447
151	3882	506966
152	3905	506610
153	3927	506092
154	3949	505646
155	3971	505142
156	3993	504793
157	4015	504294
158	4037	503848
159	4059	503330
160	4081	502938
161	4106	502808
162	4127	502334
163	4149	501936
164	4176	502045
165	4202	502090
166	4228	502169
167	4250	501808
168	4274	501532
169	4296	501138
170	4319	500874
171	4341	500487
172	4362	500014
173	4384	499534
174	4406	499233
175	4431	499111
176	4452	498704
177	4476	498514
178	4499	498244
179	4523	498082
180	4544	497613
181	4567	497322
182	4589	497033
183	4613	496802
184	4634	496431
185	4658	496240
186	4680	495915
187	4701	495508
188	4778	500922
189	4805	501019
190	4862	504286
191	4884	503893
192	4908	503724
193	4930	503368
194	4953	503130
195	4976	502841
196	5000	502657
197	5023	502427
198	5050	502504
199	5075	502473
200	5097	502157
201	5121	501916
202	5142	501478
203	5166	501374
204	5191	501312
205	5213	500976
206	5236	500734
207	5262	500755
208	5289	500885
209	5314	500813
210	5338	500670
211	5360	500366
212	5382	500029
213	5404	499722
