iter	RMSE
0	0.9940503876
1	0.9819974748
2	0.9685008998
3	0.9557455844
4	0.9441737415
5	0.93298743
6	0.9221131
7	0.9123314697
8	0.9020928209
9	0.8925808665
10	0.8836104112
11	0.875304923
12	0.867275029
13	0.8605857092
14	0.8528216079
15	0.8459651424
16	0.8393767764
17	0.8325729839
18	0.8260560499
19	0.8198402566
20	0.81369866
21	0.807949994
22	0.8023408818
23	0.7968639614
24	0.7916627343
25	0.7859083516
26	0.7810971988
27	0.7767380197
28	0.7723844421
29	0.7678470092
30	0.7628432299
31	0.7586713931
32	0.7541952279
33	0.7501335132
34	0.746031604
35	0.7419495286
36	0.7378679679
37	0.734244888
38	0.730579869
39	0.7271757794
40	0.7233982352
41	0.7198417836
42	0.7163202082
43	0.7132760407
44	0.7097989844
45	0.7065731234
46	0.7039138833
47	0.701038436
48	0.6984760924
49	0.6955142865
50	0.6929251125
51	0.6908957099
52	0.6887837761
53	0.6863198592
54	0.6837229899
55	0.6816644786
56	0.6799677658
57	0.6775838391
58	0.6752449608
59	0.6729939196
60	0.6704459716
61	0.667992409
62	0.6652106771
63	0.6637006593
64	0.6610327804
65	0.6590490083
66	0.6575051719
67	0.6558107944
68	0.6539789991
69	0.651776847
70	0.6492936729
71	0.6471672766
72	0.6453586602
73	0.6432569751
74	0.6420133892
75	0.6404276918
76	0.6393667359
77	0.6375497828
78	0.6359020577
79	0.6337418289
80	0.6318810785
81	0.6303010389
82	0.6289617844
83	0.6270444153
84	0.6262240826
85	0.6254729445
86	0.6236377848
87	0.6217236018
88	0.620042678
89	0.6187132865
90	0.6171891029
91	0.6164957012
92	0.6144073434
93	0.6134654059
94	0.6122281673
95	0.6112398185
96	0.6092648222
97	0.6079954153
98	0.6066267315
99	0.6052200059
100	0.6034270118
101	0.6022519809
102	0.6009276791
103	0.5993963937
104	0.5984357539
105	0.5972999383
106	0.5955880842
107	0.5939505538
108	0.5932392202
109	0.5915965859
110	0.5901167027
111	0.5894767225
112	0.5882364415
113	0.5872576958
114	0.5866713788
115	0.585605156
116	0.5847075308
117	0.584187747
118	0.582781974
119	0.5815369704
120	0.5802625659
121	0.5789565117
122	0.5776045825
123	0.5765333799
124	0.5751513554
125	0.5742271461
126	0.573128171
127	0.5720129716
128	0.5711647387
129	0.5705486386
130	0.5694285808
131	0.5685495353
132	0.5680730107
133	0.5666900455
134	0.5656794573
135	0.5646806944
136	0.5641079458
137	0.5629690999
138	0.5618343153
139	0.5607499785
140	0.5600430563
141	0.5590349844
142	0.5580951286
143	0.5574876767
144	0.556934425
145	0.5561109525
146	0.554911542
147	0.5541221102
148	0.5532176493
149	0.5521937444
