iter	Passed	Remaining
0	50	50647
1	65	32850
2	81	27123
3	98	24430
4	114	22840
5	125	20752
6	138	19577
7	148	18464
8	160	17678
9	171	17015
10	181	16319
11	193	15901
12	203	15473
13	215	15146
14	226	14851
15	236	14538
16	246	14255
17	258	14099
18	273	14121
19	287	14080
20	301	14032
21	312	13904
22	322	13715
23	334	13591
24	344	13446
25	356	13348
26	366	13223
27	377	13092
28	388	13005
29	399	12907
30	411	12848
31	422	12767
32	434	12721
33	448	12731
34	460	12701
35	472	12659
36	483	12591
37	500	12675
38	515	12700
39	527	12665
40	539	12623
41	549	12540
42	560	12467
43	570	12400
44	581	12350
45	593	12311
46	605	12275
47	617	12241
48	626	12167
49	638	12126
50	648	12066
51	659	12021
52	669	11965
53	679	11910
54	691	11882
55	703	11851
56	714	11812
57	725	11777
58	736	11749
59	746	11697
60	758	11683
61	768	11622
62	779	11592
63	791	11573
64	801	11522
65	812	11493
66	822	11450
67	833	11418
68	843	11382
69	854	11347
70	864	11311
71	874	11266
72	883	11225
73	895	11210
74	906	11185
75	916	11139
76	925	11090
77	936	11065
78	947	11049
79	956	10998
80	966	10969
81	976	10934
82	986	10903
83	999	10901
84	1009	10870
85	1020	10841
86	1032	10837
87	1105	11455
88	1120	11465
89	1232	12458
90	1245	12441
91	1259	12425
92	1276	12447
93	1296	12491
94	1314	12520
95	1325	12486
96	1339	12465
97	1371	12627
98	1421	12940
99	1431	12887
100	1442	12837
101	1455	12809
102	1464	12757
103	1475	12715
104	1485	12658
105	1495	12611
106	1506	12569
107	1517	12535
108	1528	12491
109	1541	12469
110	1552	12434
111	1563	12395
112	1577	12384
113	1594	12390
114	1607	12374
115	1615	12314
116	1628	12286
117	1640	12263
118	1653	12240
119	1664	12206
120	1674	12166
121	1685	12127
122	1694	12082
123	1703	12036
124	1713	11994
125	1723	11951
126	1732	11911
127	1744	11881
128	1753	11839
129	1763	11802
130	1771	11753
131	1782	11719
132	1793	11693
133	1805	11668
134	1815	11635
135	1826	11603
136	1836	11568
137	1847	11538
138	1857	11508
139	1869	11485
140	1881	11460
141	1892	11433
142	1903	11407
143	1913	11373
144	1923	11344
145	1935	11319
146	1947	11298
147	1956	11260
148	1966	11230
149	1978	11213
150	1988	11181
151	1997	11144
152	2008	11119
153	2017	11085
154	2030	11071
155	2042	11049
156	2052	11018
157	2062	10993
158	2071	10958
159	2082	10935
160	2093	10910
161	2114	10938
162	2177	11180
163	2193	11181
164	2209	11181
165	2223	11172
166	2236	11155
167	2246	11126
168	2257	11098
169	2268	11074
170	2278	11046
171	2290	11024
172	2299	10992
173	2309	10963
174	2320	10938
175	2331	10915
176	2342	10891
177	2351	10861
178	2363	10841
179	2374	10818
180	2387	10801
181	2398	10782
182	2408	10752
183	2418	10724
184	2428	10697
185	2439	10677
186	2449	10650
187	2460	10626
188	2469	10598
189	2479	10572
190	2491	10553
191	2502	10530
192	2513	10509
193	2523	10482
194	2534	10464
195	2546	10445
196	2556	10419
197	2565	10391
198	2575	10365
199	2586	10344
200	2597	10324
201	2613	10325
202	2632	10333
203	2647	10328
204	2657	10306
205	2667	10280
206	2677	10256
207	2689	10242
208	2702	10228
209	2714	10211
210	2729	10208
211	2742	10194
212	2754	10179
213	2767	10163
214	2778	10143
215	2789	10125
216	2803	10114
217	2814	10097
218	2829	10089
219	2839	10068
220	2850	10048
221	2861	10027
222	2875	10017
223	2887	10004
224	2900	9990
225	2912	9976
226	2927	9969
227	2949	9986
228	2960	9967
229	2970	9945
230	2981	9924
231	2991	9903
232	3003	9885
233	3013	9864
234	3023	9841
235	3033	9820
236	3043	9799
237	3053	9776
238	3063	9755
239	3077	9743
240	3085	9718
241	3094	9692
242	3104	9672
243	3116	9656
244	3126	9635
245	3136	9614
246	3146	9592
247	3159	9579
248	3232	9749
249	3246	9738
250	3261	9731
251	3275	9721
252	3315	9789
253	3329	9779
254	3340	9759
255	3350	9737
256	3359	9711
257	3369	9691
258	3380	9672
259	3390	9650
260	3399	9624
261	3408	9599
262	3421	9586
263	3431	9566
264	3442	9547
265	3450	9522
266	3462	9504
267	3474	9488
268	3484	9469
269	3494	9447
270	3504	9428
271	3515	9409
272	3526	9392
273	3538	9374
274	3547	9352
275	3556	9329
276	3567	9312
277	3579	9295
278	3591	9280
279	3602	9263
280	3612	9244
281	3624	9229
282	3635	9209
283	3644	9189
284	3655	9170
285	3666	9152
286	3675	9131
287	3688	9118
288	3702	9109
289	3714	9093
290	3725	9077
291	3736	9060
292	3747	9043
293	3758	9026
294	3770	9009
295	3778	8987
296	3790	8972
297	3800	8952
298	3812	8937
299	3826	8928
300	3836	8910
301	3845	8887
302	3858	8876
303	3869	8859
304	3879	8840
305	3890	8822
306	3899	8802
307	3911	8788
308	3920	8768
309	3930	8748
310	3941	8731
311	3950	8711
312	3962	8696
313	3975	8684
314	3986	8669
315	3997	8652
316	4009	8637
317	4021	8624
318	4031	8607
319	4040	8586
320	4051	8569
321	4061	8552
322	4073	8537
323	4081	8516
324	4091	8498
325	4102	8481
326	4115	8470
327	4127	8456
328	4137	8439
329	4147	8420
330	4158	8405
331	4169	8390
332	4181	8375
333	4192	8360
334	4204	8347
335	4214	8328
336	4287	8435
337	4301	8425
338	4343	8470
339	4360	8464
340	4370	8445
341	4379	8425
342	4387	8404
343	4398	8388
344	4410	8373
345	4420	8355
346	4429	8336
347	4439	8317
348	4449	8299
349	4459	8282
350	4469	8264
351	4477	8242
352	4487	8224
353	4498	8209
354	4509	8192
355	4520	8177
356	4531	8162
357	4541	8144
358	4551	8126
359	4562	8111
360	4573	8095
361	4582	8077
362	4592	8059
363	4603	8043
364	4613	8027
365	4623	8009
366	4635	7994
367	4647	7981
368	4657	7965
369	4667	7946
370	4675	7927
371	4685	7910
372	4696	7895
373	4706	7878
374	4716	7860
375	4727	7845
376	4738	7829
377	4752	7819
378	4767	7811
379	4778	7795
380	4788	7779
381	4800	7766
382	4809	7748
383	4820	7732
384	4833	7720
385	4843	7704
386	4855	7690
387	4866	7676
388	4876	7659
389	4886	7643
390	4897	7628
391	4908	7613
392	4918	7596
393	4928	7580
394	4938	7564
395	4951	7552
396	4963	7538
397	4976	7527
398	4989	7514
399	5000	7501
400	5011	7486
401	5023	7472
402	5035	7459
403	5046	7444
404	5055	7426
405	5065	7411
406	5077	7398
407	5087	7382
408	5098	7367
409	5108	7351
410	5119	7337
411	5129	7321
412	5141	7308
413	5152	7293
414	5163	7278
415	5175	7265
416	5185	7249
417	5194	7233
418	5204	7216
419	5214	7200
420	5224	7185
421	5237	7173
422	5248	7159
423	5259	7144
424	5268	7127
425	5277	7110
426	5312	7129
427	5363	7167
428	5375	7154
429	5400	7158
430	5450	7195
431	5462	7182
432	5472	7166
433	5484	7152
434	5494	7137
435	5505	7121
436	5514	7104
437	5526	7090
438	5537	7076
439	5548	7061
440	5558	7046
441	5569	7030
442	5579	7015
443	5592	7003
444	5603	6989
445	5613	6972
446	5624	6957
447	5636	6945
448	5647	6930
449	5657	6914
450	5666	6898
451	5676	6881
452	5687	6867
453	5698	6853
454	5707	6836
455	5716	6819
456	5726	6804
457	5737	6789
458	5749	6777
459	5759	6761
460	5769	6745
461	5779	6730
462	5790	6716
463	5801	6701
464	5814	6689
465	5828	6678
466	5841	6667
467	5852	6652
468	5862	6637
469	5872	6622
470	5884	6608
471	5894	6593
472	5904	6578
473	5914	6563
474	5926	6550
475	5938	6536
476	5949	6522
477	5959	6508
478	5968	6491
479	5979	6477
480	5990	6463
481	6000	6449
482	6012	6435
483	6022	6420
484	6032	6406
485	6042	6390
486	6052	6376
487	6062	6360
488	6072	6346
489	6083	6331
490	6096	6319
491	6109	6307
492	6120	6294
493	6132	6281
494	6144	6268
495	6155	6254
496	6165	6240
497	6175	6225
498	6187	6212
499	6198	6198
500	6211	6186
501	6222	6173
502	6235	6160
503	6245	6146
504	6256	6132
505	6265	6117
506	6276	6103
507	6287	6089
508	6296	6074
509	6306	6059
510	6317	6045
511	6330	6033
512	6340	6019
513	6354	6007
514	6429	6055
515	6444	6045
516	6459	6034
517	6473	6023
518	6489	6014
519	6502	6002
520	6516	5991
521	6529	5979
522	6542	5967
523	6555	5955
524	6568	5943
525	6582	5931
526	6594	5918
527	6603	5903
528	6612	5887
529	6624	5874
530	6636	5861
531	6646	5846
532	6657	5833
533	6667	5818
534	6678	5804
535	6689	5790
536	6699	5776
537	6710	5762
538	6719	5747
539	6731	5734
540	6741	5719
541	6752	5705
542	6762	5691
543	6771	5676
544	6783	5663
545	6793	5648
546	6802	5633
547	6812	5619
548	6824	5606
549	6836	5593
550	6847	5580
551	6857	5565
552	6867	5551
553	6882	5540
554	6896	5529
555	6908	5516
556	6920	5503
557	6931	5490
558	6940	5475
559	6952	5462
560	6962	5448
561	6974	5435
562	6984	5421
563	6994	5406
564	7005	5393
565	7017	5381
566	7029	5368
567	7039	5354
568	7048	5339
569	7058	5324
570	7069	5311
571	7079	5297
572	7090	5284
573	7100	5269
574	7109	5255
575	7122	5243
576	7132	5229
577	7142	5214
578	7152	5200
579	7162	5186
580	7174	5173
581	7184	5160
582	7196	5147
583	7207	5134
584	7218	5120
585	7230	5108
586	7240	5094
587	7253	5082
588	7265	5069
589	7276	5056
590	7286	5042
591	7296	5028
592	7306	5014
593	7319	5002
594	7330	4989
595	7340	4975
596	7349	4961
597	7358	4946
598	7371	4934
599	7381	4921
600	7393	4908
601	7404	4895
602	7413	4880
603	7492	4912
604	7507	4901
605	7522	4890
606	7567	4899
607	7657	4936
608	7675	4927
609	7684	4913
610	7695	4899
611	7704	4884
612	7716	4871
613	7726	4857
614	7736	4843
615	7746	4829
616	7755	4814
617	7767	4801
618	7778	4787
619	7788	4773
620	7798	4759
621	7808	4745
622	7818	4731
623	7829	4717
624	7838	4703
625	7848	4689
626	7859	4675
627	7870	4661
628	7880	4648
629	7889	4633
630	7899	4619
631	7913	4607
632	7924	4594
633	7934	4580
634	7943	4565
635	7952	4551
636	7963	4538
637	7976	4525
638	7985	4511
639	7994	4496
640	8003	4482
641	8015	4469
642	8029	4458
643	8044	4447
644	8056	4434
645	8068	4421
646	8079	4408
647	8088	4393
648	8098	4379
649	8109	4366
650	8120	4353
651	8129	4339
652	8139	4325
653	8150	4311
654	8162	4299
655	8173	4285
656	8182	4272
657	8191	4257
658	8203	4245
659	8214	4231
660	8225	4218
661	8236	4205
662	8245	4191
663	8255	4177
664	8267	4164
665	8278	4151
666	8288	4138
667	8297	4124
668	8308	4110
669	8318	4097
670	8329	4084
671	8339	4070
672	8349	4056
673	8360	4043
674	8370	4030
675	8381	4016
676	8391	4003
677	8405	3991
678	8417	3979
679	8427	3965
680	8438	3952
681	8448	3939
682	8459	3926
683	8470	3913
684	8479	3899
685	8527	3903
686	8571	3905
687	8584	3892
688	8598	3881
689	8612	3869
690	8626	3857
691	8636	3843
692	8646	3830
693	8658	3817
694	8669	3804
695	8680	3791
696	8691	3778
697	8703	3765
698	8714	3752
699	8725	3739
700	8735	3726
701	8744	3712
702	8757	3699
703	8768	3686
704	8778	3673
705	8788	3659
706	8800	3647
707	8810	3633
708	8821	3620
709	8831	3607
710	8842	3594
711	8852	3580
712	8862	3567
713	8872	3554
714	8883	3541
715	8894	3528
716	8903	3514
717	8916	3502
718	8927	3489
719	8938	3476
720	8950	3463
721	8961	3450
722	8971	3437
723	8981	3423
724	8992	3410
725	9002	3397
726	9014	3385
727	9030	3373
728	9043	3361
729	9055	3349
730	9066	3336
731	9075	3322
732	9085	3309
733	9097	3296
734	9107	3283
735	9118	3270
736	9129	3257
737	9139	3244
738	9151	3232
739	9160	3218
740	9170	3205
741	9180	3192
742	9190	3178
743	9202	3166
744	9212	3153
745	9223	3140
746	9232	3126
747	9243	3114
748	9255	3101
749	9264	3088
750	9274	3075
751	9284	3061
752	9296	3049
753	9307	3036
754	9318	3023
755	9329	3011
756	9340	2998
757	9349	2985
758	9360	2972
759	9371	2959
760	9381	2946
761	9392	2933
762	9403	2920
763	9415	2908
764	9426	2895
765	9437	2882
766	9448	2870
767	9459	2857
768	9468	2844
769	9478	2831
770	9489	2818
771	9499	2805
772	9510	2792
773	9520	2779
774	9533	2767
775	9546	2755
776	9595	2754
777	9636	2749
778	9650	2737
779	9663	2725
780	9677	2713
781	9718	2709
782	9733	2697
783	9744	2684
784	9755	2671
785	9766	2659
786	9777	2646
787	9788	2633
788	9797	2620
789	9807	2607
790	9820	2594
791	9831	2582
792	9843	2569
793	9855	2556
794	9865	2543
795	9875	2530
796	9886	2518
797	9896	2505
798	9906	2492
799	9917	2479
800	9928	2466
801	9939	2453
802	9949	2440
803	9959	2427
804	9969	2414
805	9979	2402
806	9990	2389
807	10000	2376
808	10010	2363
809	10021	2350
810	10031	2337
811	10043	2325
812	10053	2312
813	10062	2299
814	10073	2286
815	10085	2274
816	10101	2262
817	10116	2250
818	10125	2237
819	10137	2225
820	10148	2212
821	10157	2199
822	10167	2186
823	10178	2174
824	10189	2161
825	10201	2148
826	10212	2136
827	10221	2123
828	10232	2110
829	10242	2097
830	10254	2085
831	10264	2072
832	10275	2059
833	10287	2047
834	10296	2034
835	10306	2021
836	10317	2009
837	10326	1996
838	10337	1983
839	10347	1970
840	10358	1958
841	10370	1945
842	10382	1933
843	10392	1920
844	10401	1907
845	10412	1895
846	10423	1882
847	10434	1870
848	10444	1857
849	10453	1844
850	10465	1832
851	10477	1820
852	10488	1807
853	10498	1794
854	10508	1782
855	10519	1769
856	10532	1757
857	10543	1744
858	10553	1732
859	10563	1719
860	10574	1707
861	10584	1694
862	10594	1681
863	10604	1669
864	10614	1656
865	10691	1654
866	10706	1642
867	10751	1635
868	10767	1623
869	10777	1610
870	10787	1597
871	10796	1584
872	10806	1572
873	10817	1559
874	10831	1547
875	10840	1534
876	10850	1521
877	10860	1509
878	10871	1496
879	10882	1483
880	10891	1471
881	10901	1458
882	10912	1445
883	10923	1433
884	10935	1421
885	10944	1408
886	10956	1395
887	10968	1383
888	10979	1370
889	10990	1358
890	11000	1345
891	11009	1332
892	11020	1320
893	11031	1307
894	11041	1295
895	11051	1282
896	11063	1270
897	11078	1258
898	11091	1246
899	11104	1233
900	11116	1221
901	11129	1209
902	11140	1196
903	11153	1184
904	11167	1172
905	11182	1160
906	11191	1147
907	11202	1135
908	11213	1122
909	11226	1110
910	11236	1097
911	11246	1085
912	11256	1072
913	11267	1060
914	11279	1047
915	11290	1035
916	11300	1022
917	11309	1010
918	11321	997
919	11331	985
920	11341	972
921	11351	960
922	11361	947
923	11371	935
924	11381	922
925	11391	910
926	11402	897
927	11412	885
928	11425	873
929	11435	860
930	11447	848
931	11457	835
932	11468	823
933	11481	811
934	11492	798
935	11502	786
936	11512	774
937	11525	761
938	11535	749
939	11545	736
940	11555	724
941	11568	712
942	11577	699
943	11586	687
944	11596	674
945	11608	662
946	11619	650
947	11628	637
948	11638	625
949	11649	613
950	11659	600
951	11669	588
952	11680	576
953	11758	566
954	11773	554
955	11788	542
956	11804	530
957	11844	519
958	11864	507
959	11875	494
960	11885	482
961	11894	469
962	11904	457
963	11915	444
964	11926	432
965	11935	420
966	11946	407
967	11959	395
968	11971	382
969	11984	370
970	11997	358
971	12009	345
972	12020	333
973	12031	321
974	12042	308
975	12051	296
976	12062	283
977	12073	271
978	12082	259
979	12094	246
980	12103	234
981	12114	222
982	12126	209
983	12137	197
984	12148	184
985	12159	172
986	12169	160
987	12181	147
988	12191	135
989	12202	123
990	12217	110
991	12232	98
992	12247	86
993	12259	74
994	12270	61
995	12279	49
996	12290	36
997	12299	24
998	12311	12
999	12323	0
