iter	RMSE
0	0.980107361
1	0.9672889028
2	0.9560020531
3	0.9438175212
4	0.9334180486
5	0.9229903669
6	0.9124206287
7	0.9034634539
8	0.8937435579
9	0.8851583793
10	0.8766466584
11	0.8685231852
12	0.8609671556
13	0.8540560922
14	0.846414734
15	0.8392818844
16	0.8329802046
17	0.8267911728
18	0.8204011512
19	0.8148020815
20	0.8084529617
21	0.8026485449
22	0.7977218397
23	0.793197317
24	0.7879962139
25	0.7828810933
26	0.7786739929
27	0.7746082216
28	0.7699993832
29	0.765278938
30	0.7604468645
31	0.756370329
32	0.7524013731
33	0.7484663614
34	0.7442670062
35	0.7401698201
36	0.7361905107
37	0.7325038623
38	0.7291514219
39	0.7258866666
40	0.7222220729
41	0.7185459048
42	0.7155383231
43	0.7122873678
44	0.7088638833
45	0.7059659611
46	0.7027313269
47	0.7001460343
48	0.6976525583
49	0.694664634
50	0.6917283677
51	0.6895527097
52	0.6867104478
53	0.684339171
54	0.6819361913
55	0.6789171519
56	0.6762714152
57	0.6738024672
58	0.6716211966
59	0.6698592862
60	0.667391613
61	0.6653484544
62	0.6631526251
63	0.6610794523
64	0.6597261507
65	0.6574633954
66	0.6556851137
67	0.6539744801
68	0.6516714033
69	0.6497182021
70	0.6475250296
71	0.6457242027
72	0.6440089219
73	0.64197556
74	0.64043591
75	0.6390064329
76	0.6378213496
77	0.6358126079
78	0.6337955943
79	0.6325028765
80	0.6309719859
81	0.6292812212
82	0.6276943081
83	0.6256787597
84	0.6245910485
85	0.6235963615
86	0.6217182164
87	0.6201688491
88	0.6187621539
89	0.6170574865
90	0.6160157464
91	0.6147608641
92	0.613128008
93	0.6122733211
94	0.610525109
95	0.609664454
96	0.6084137284
97	0.6069927487
98	0.6054544536
99	0.603972586
100	0.6026943341
101	0.6011992082
102	0.6003666787
103	0.5990595582
104	0.5978701942
105	0.5969960236
106	0.5955457523
107	0.5937500423
108	0.592704965
109	0.5911059347
110	0.5895672022
111	0.5888978134
112	0.5877232561
113	0.5866191861
114	0.585779998
115	0.5849330131
116	0.5834467108
117	0.58206422
118	0.5806386535
119	0.5794581462
120	0.5785718199
121	0.5773163727
122	0.5766033834
123	0.5756465645
124	0.5745644569
125	0.5735935001
126	0.5727470487
127	0.5719819454
128	0.5711562699
129	0.5705441283
130	0.5698568224
131	0.5687919264
132	0.5675870244
133	0.5664100759
134	0.5653372901
135	0.5641938814
136	0.5635955762
137	0.5625418475
138	0.561460514
139	0.5602374016
140	0.5589064198
141	0.5579959414
142	0.55706309
143	0.5563008253
144	0.555761593
145	0.5548882492
146	0.5538761277
147	0.5531162243
148	0.5526063222
149	0.5515909654
150	0.5507915226
151	0.5501452065
152	0.5491253944
153	0.548356927
154	0.5471186001
155	0.5464684103
156	0.5456147759
157	0.5446548197
158	0.544058609
159	0.5431356032
160	0.5424740075
161	0.5416003669
162	0.5411203619
163	0.5399757222
164	0.5390961844
165	0.5385921444
166	0.538127783
167	0.5372766134
168	0.5365271789
169	0.5358805394
170	0.5352170872
171	0.534341488
172	0.5336662877
173	0.5328948329
174	0.5320664004
175	0.531326104
176	0.5306012174
177	0.5303827669
178	0.529514904
179	0.5291062838
180	0.5283215912
181	0.5274297319
182	0.5268159816
183	0.5260471349
184	0.5254049136
185	0.5247734101
186	0.5243337285
187	0.5235637437
188	0.5232138798
189	0.5226962176
190	0.521867235
191	0.5212408601
192	0.5204939245
193	0.5198869053
194	0.5192865983
195	0.5185382056
196	0.517890297
197	0.5173712855
198	0.5169510153
199	0.5164487975
200	0.5160756331
201	0.5152484708
202	0.5145909428
203	0.5140296011
204	0.5133758248
205	0.5126240497
206	0.5122898823
207	0.5116054295
208	0.5109097854
209	0.5103325918
210	0.5096074327
211	0.5090336244
212	0.5085460619
213	0.5079937562
214	0.5076540875
215	0.5071490325
