iter	Accuracy	MultiClass
0	0.503197442	1.078137162
1	0.5178856914	1.061021635
2	0.5182354117	1.047781979
3	0.5173361311	1.035224121
4	0.5263289369	1.021208427
5	0.528127498	1.010380031
6	0.5348721023	1.002448748
7	0.5426159073	0.9915643103
8	0.5444644285	0.9840041682
9	0.5502597922	0.9756570776
10	0.5560551559	0.9676366995
11	0.5584032774	0.9614783852
12	0.5681454836	0.9528180452
13	0.5771382894	0.9437187848
14	0.5816846523	0.937505597
15	0.5846322942	0.9321374187
16	0.589028777	0.9254067498
17	0.59382494	0.9209481657
18	0.5957234213	0.9174324773
19	0.5973221423	0.9128772962
20	0.6027677858	0.9073427169
21	0.6044664269	0.9036073429
22	0.6086131095	0.8985040747
23	0.6173061551	0.8909706297
24	0.6216027178	0.8854235789
25	0.626548761	0.8808099553
26	0.628147482	0.8783367546
27	0.6305455635	0.8754063807
28	0.6304956035	0.8722101847
29	0.6353417266	0.86908307
30	0.6379396483	0.866179915
31	0.6404376499	0.8637064738
32	0.6431354916	0.8591380938
33	0.6496302958	0.8539156769
34	0.6510791367	0.851506443
35	0.6566746603	0.846945758
36	0.6621203038	0.8409262653
37	0.6657174261	0.8361169844
38	0.6674660272	0.8344179478
39	0.670313749	0.8316255619
40	0.6741107114	0.8284658426
41	0.6744604317	0.8248037653
42	0.6784572342	0.82042817
43	0.681254996	0.8163374573
44	0.6845523581	0.8138236731
45	0.6870003997	0.8115147227
46	0.6920463629	0.8065343451
47	0.6944944045	0.8034748897
48	0.6967426059	0.8013327431
49	0.6986910472	0.7990105549
50	0.7008892886	0.7964157693
51	0.7037370104	0.7931247725
52	0.7086330935	0.7894019635
53	0.7106314948	0.785834798
54	0.712480016	0.7840061734
55	0.7157773781	0.7808259254
56	0.7202238209	0.7759283452
57	0.7224720224	0.7738610199
58	0.7255695444	0.770075873
59	0.7288169464	0.76650018
60	0.7320143885	0.7641960948
61	0.7332633893	0.7620315306
62	0.7349120703	0.7599208462
63	0.7388089528	0.7564059304
64	0.7417565947	0.753052144
65	0.7444544365	0.7507254812
66	0.7454536371	0.7494303958
67	0.7472521982	0.7467891179
68	0.7481514788	0.7456939791
69	0.7491506795	0.7428820055
70	0.7512490008	0.7407575897
71	0.7521982414	0.7388106605
72	0.754646283	0.7359649961
73	0.7555955236	0.7335887501
74	0.7575939249	0.7311589863
75	0.759392486	0.7293867185
76	0.7613409273	0.7278217358
